lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145628.92822679924,230708.25529792407,0.9568487106486662
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,145678.70890190708,230906.28734987983,0.9561919170986433
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24773.27638790246,38254.908645048294,0.2737743742287278
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,29944.634807155606,55279.518018000446,0.34581973827583395
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,31855.62744910038,56660.27818819081,0.31278073181543564
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,38687.63309787458,84339.04633593893,0.34277019825244326
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,29936.180918560607,48764.05493643759,0.3676629855212828
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,35129.63168405415,62450.00271332048,0.41982161968061693
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,22492.686664299243,34993.60567029775,0.25631724499986075
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,29252.24919786604,58805.00481894594,0.23770177139295695
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35047.0086422822,64868.42798301698,0.3260777590764132
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30181.65545795204,65802.11499528764,0.24573718598787425
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,25235.454398674243,44253.8269660107,0.25715195337071534
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31973.89947932488,61165.231642974955,0.30752264135768814
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146534.82803592566,231282.49184423595,0.9780930542331824
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,146594.02898487632,231484.82109194822,0.9777955626093333
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146532.91562929095,231283.03566872276,0.9779281684070258
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,146596.55075225275,231486.46359297616,0.9778491162349422
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146536.15000421696,231283.3042251019,0.9781514706280056
1,0,100,64,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,146594.15542042616,231484.91341777027,0.9777981993801339
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,22533.144434185608,40364.35519799759,0.22767115457943296
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,23080.54669107875,40280.5966132918,0.2709084164953779
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35498.9992282197,69316.84661269277,0.3151996879075708
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,33796.73764701834,71661.8738997234,0.30154688735369867
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,24703.267512428978,39587.06413664573,0.2826546677069342
1,0,100,64,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,31517.26161492349,55122.54862495052,0.39353956465957096
1,0,100,64,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,24254.24078302557,42701.55356199049,0.22299060236471774
