bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,29741.67757893188,43442.20796235287,0.454704068638386
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,20180.169701704544,35154.102031283976,0.19415913728076875
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,26793.825426697298,43141.62240262368,0.2881844369406265
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,27921.11531960227,45537.12090776691,0.33477668988474235
1,0,100,256,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,47811.51929511885,63782.51558085624,0.6974012206563527
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,29472.5102483576,46021.18950075338,0.31251484208446423
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,25117.887119223687,39898.12855738781,0.30539727905503194
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,24696.97207445549,43991.88183702319,0.24517884034379772
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21393.62898515815,39287.67492704403,0.1925317660502585
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,26224.59599313447,42683.67771733159,0.3092882413026266
1,0,100,256,swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,35260.6128611976,52694.508802342665,0.4365385569180581
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143780.00807114108,229547.38727425534,0.9138030382966165
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,143852.88794093637,229757.38474068997,0.9138366340831071
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143790.29727598248,229553.8477555387,0.9140370821489889
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,143860.57356404967,229762.20849519144,0.9140117235229522
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143780.9754468513,229547.99466708672,0.9138250427509357
1,0,100,128,tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,143853.0594418643,229757.49236188264,0.9138405422308125
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,21791.916097892994,35897.28827308899,0.25240744740991167
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,24233.87866596579,39425.942996043144,0.27124998501756
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,19498.85649798769,32666.108063847994,0.19262984887218945
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,21925.455408589954,37365.54657521814,0.20712611680550871
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,22671.51963778409,37087.217519907754,0.25555949441481013
1,0,100,128,relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,34317.740491864744,49824.0446462642,0.43790543349515376
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,23551.96195046165,37030.437730016114,0.2392097496211204
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,26324.323815309843,41856.339741234304,0.2860894992957337
1,0,100,128,swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,28437.09456365412,50603.5978034591,0.28859670375356516
