lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,timesteps,mae,rmse,mape
2,0,100,"(256, 32)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,45530.96630147422,80249.42363541831,0.5229393518642627
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,24969.82284823331,38985.9564680025,0.27202458410049957
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,30999.059043467118,62494.56593456359,0.2537968341905686
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,26118.145029592804,43563.7201545406,0.26787172045441554
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,29952.77350869532,57436.292540079114,0.3045820172411795
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,27387.903976384943,43362.253068335165,0.3051971068347934
2,0,100,"(256, 32)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,42871.5556748345,82231.63220521688,0.3563036182688701
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146535.05562440815,231284.39150932175,0.9779785933312294
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,146598.0599142749,231487.41932983446,0.9778847324821635
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146536.74727213543,231285.46329335647,0.978018453575148
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,146599.12195350768,231488.09190561424,0.9779097960756763
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146535.1593203273,231284.45720973064,0.9779810364660549
2,0,100,"(128, 64)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,146598.01203623664,231487.38900236264,0.9778836024685909
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,27545.068942945076,41447.214942830564,0.31364620223628875
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,37227.874260161945,69770.98678768968,0.42551583143290195
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,24214.136155894885,39590.881116231925,0.25949729264790766
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,40267.389034971144,87907.06277973273,0.3651181170279886
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,29462.40123461174,46756.510457073055,0.3414435006560356
2,0,100,"(128, 64)",relu,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,36520.852353954666,70377.3721894758,0.3805042141077732
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,22904.256923828125,35812.51443154245,0.2391060479099819
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,30222.959552157692,62073.97459060265,0.2543392527675395
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,22446.648566524622,37140.42397336762,0.2188999628198372
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,26454.04124463662,57181.582499224336,0.22015202055158267
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,29077.490122514206,46756.41891896649,0.3313342089899066
2,0,100,"(128, 64)",swish,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,32089.33793037572,65614.42598845162,0.2643061468395338
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,3,146993.06767626214,231574.84572937197,0.9887707847057965
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.StandardScaler'>,5,147057.32795083104,231778.54050659682,0.9887234076218778
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,3,146994.05803263347,231575.47436338346,0.9887941205814101
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.MinMaxScaler'>,5,147058.00356762725,231778.96916669724,0.9887393520069446
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,3,146993.12480398468,231574.8819921244,0.9887721307099944
2,0,100,"(128, 32)",tanh,,<class 'sklearn.preprocessing._data.PowerTransformer'>,5,147057.34982281266,231778.5543816465,0.9887239238307152
