bi_lstm,dense,epochs,neuronios,ativacao_lstm,ativacao_normal,normalizacao,mae,rmse,mape
2,150,"(256, 128, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,26107.79983433962,43520.86758143946,0.29648758205220027,,
2,150,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,28187.11955274146,40756.78730942352,0.4419794208203373,,
2,150,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35415.413057597114,59822.03874885952,0.34684873695021173,,
2,150,"(256, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,29851.905399788393,49828.85780643149,0.2912993860015773,,
2,150,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,31125.17702232278,53344.32045782645,0.27508305123824717,,
2,150,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,29192.35078963403,45781.94392009341,0.42688211500301915,,
2,150,"(256, 64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,26851.52942465006,47232.03931485611,0.3207400268598403,,
2,150,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.StandardScaler'>,29926.66377555358,42175.435627727304,0.49723415593907727,,
2,150,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.MinMaxScaler'>,35189.04102152925,62399.3451954196,0.3538047331273731,,
2,150,"(128, 64, 32)",relu,<class 'sklearn.preprocessing._data.PowerTransformer'>,30732.15725903586,50425.45765592688,0.2870281518898837,,
2,150,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.StandardScaler'>,33744.986393445346,49207.140972252746,0.4127820571990159,,
2,150,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.MinMaxScaler'>,30125.72287470715,48059.0064844625,0.4406378853159503,,
2,150,"(128, 64, 32)",swish,<class 'sklearn.preprocessing._data.PowerTransformer'>,28911.98081796547,51474.44781326551,0.3061378309052487,,
