data,estados,consumo
200411,AL,26598.0
200412,AL,30970.0
200501,AL,29095.0
200502,AL,25241.0
200503,AL,29040.0
200504,AL,25685.0
200505,AL,21197.0
200506,AL,20299.0
200507,AL,22784.0
200508,AL,23659.0
200509,AL,23770.0
200510,AL,25386.0
200511,AL,26776.0
200512,AL,33636.0
200601,AL,30849.0
200602,AL,25234.0
200603,AL,33238.0
200604,AL,23230.0
200605,AL,24302.0
200606,AL,19608.0
200607,AL,21908.0
200608,AL,26927.0
200609,AL,26885.0
200610,AL,27027.0
200611,AL,30102.0
200612,AL,28794.0
200701,AL,34100.0
200702,AL,27356.0
200703,AL,31753.0
200704,AL,28188.0
200705,AL,29624.0
200706,AL,25216.0
200707,AL,26504.0
200708,AL,27872.0
200709,AL,28082.0
200710,AL,35652.0
200711,AL,35590.0
200712,AL,33937.0
200801,AL,38282
200802,AL,32977
200803,AL,35662
200804,AL,39980
200805,AL,34089
200806,AL,32715
200807,AL,34859
200808,AL,36732
200809,AL,37753
200810,AL,43724
200811,AL,38241
200812,AL,41321
200901,AL,39282
200902,AL,33478
200903,AL,41948
200904,AL,38575
200905,AL,33137
200906,AL,31802
200907,AL,39047
200908,AL,36258
200909,AL,40763
200910,AL,46242
200911,AL,45302
200912,AL,45238
201001,AL,46449
201002,AL,41239
201003,AL,51021
201004,AL,46153
201005,AL,47980
201006,AL,39314
201007,AL,45354
201008,AL,51514
201009,AL,50908
201010,AL,50898
201011,AL,55138
201012,AL,57804
201101,AL,61858
201102,AL,60153
201103,AL,76210
201104,AL,59365.0
201105,AL,51659.0
201106,AL,55008.0
201107,AL,53624.0
201108,AL,63884.0
201109,AL,59893.0
201110,AL,65805.0
201111,AL,66635.0
201112,AL,68787.0
201201,AL,72505.0
201202,AL,70893.0
201203,AL,89431.0
201204,AL,73884.0
201205,AL,75662.0
201206,AL,60902.0
201207,AL,60518.0
201208,AL,64379.0
201209,AL,64240.0
201210,AL,73016.0
201211,AL,74154.0
201212,AL,65280.0
201301,AL,73974.0
201302,AL,63596.0
201303,AL,72665.0
201304,AL,71362.0
201305,AL,62454.0
201306,AL,56918.0
201307,AL,59718.0
201308,AL,60978.0
201309,AL,65895.0
201310,AL,73594.0
201311,AL,68060.0
201312,AL,62161.0
201401,AL,72995.0
201402,AL,78386.0
201403,AL,70339.0
201404,AL,68117.0
201405,AL,60946.0
201406,AL,55187.0
201407,AL,62205.0
201408,AL,58804.0
201409,AL,63077.0
201410,AL,68577.0
201411,AL,72559.0
201412,AL,62390.0
201501,AL,57164.0
201502,AL,65022.0
201503,AL,65016.0
201504,AL,53814.0
201505,AL,49929.0
201506,AL,41744.0
201507,AL,44337.0
201508,AL,49858.0
201509,AL,51149.0
201510,AL,52656.0
201511,AL,42501.0
201512,AL,39137.0
201601,AL,38458.0
201602,AL,40282.0
201603,AL,44091.0
201604,AL,39374.0
201605,AL,40904.0
201606,AL,38419.0
201607,AL,39849.0
201608,AL,38757.0
201609,AL,37084.0
201610,AL,35353.0
201611,AL,38823.0
201612,AL,40483.0
201701,AL,38666.0
201702,AL,32321.0
201703,AL,41937.0
201704,AL,31982.0
201705,AL,28499.0
201706,AL,22626.0
201707,AL,21340.0
201708,AL,26848.0
201709,AL,28074.0
201710,AL,29941.0
201711,AL,28977.0
201712,AL,31580.0
201801,AL,29991.0
201802,AL,26820.0
201803,AL,29446.0
201804,AL,27666.0
201805,AL,22013.0
201806,AL,28025.0
201807,AL,25648.0
201808,AL,31782.0
201809,AL,27768.0
201810,AL,33073.0
201811,AL,30389.0
201812,AL,27657.0
201901,AL,32388.0
201902,AL,30378.0
201903,AL,30641.0
201904,AL,32337.0
201905,AL,36405.0
201906,AL,22499.0
201907,AL,27961.0
201908,AL,32378.0
201909,AL,32582.0
201910,AL,42703.0
201911,AL,38584.0
201912,AL,36503.0
199001,AM,21819
199002,AM,22683
199003,AM,13819
199004,AM,16168
199005,AM,22104
199006,AM,23438
199007,AM,26307
199008,AM,31642
199009,AM,22546
199010,AM,21388
199011,AM,21923
199012,AM,17334
199101,AM,20044
199102,AM,15066
199103,AM,17933
199104,AM,20209
199105,AM,21554
199106,AM,24655
199107,AM,22014
199108,AM,22029
199109,AM,24394
199110,AM,24158
199111,AM,22913
199112,AM,22537
199201,AM,17187
199202,AM,16352
199203,AM,12420
199204,AM,12681
199205,AM,14915
199206,AM,19368
199207,AM,20205
199208,AM,15430
199209,AM,19987
199210,AM,19554
199211,AM,24718
199212,AM,18526
199301,AM,15137
199302,AM,11590
199303,AM,18516
199304,AM,16609
199305,AM,19403
199306,AM,26147
199307,AM,19653
199308,AM,20212
199309,AM,24880
199310,AM,28070
199311,AM,22143
199312,AM,24741
199401,AM,18396
199402,AM,15750
199403,AM,16463
199404,AM,14258
199405,AM,15742
199406,AM,17673
199407,AM,15535
199408,AM,21886
199409,AM,22241
199410,AM,27842
199411,AM,20896
199412,AM,15330
199501,AM,13700
199502,AM,11118
199503,AM,17396
199504,AM,15758
199505,AM,15642
199506,AM,13745
199507,AM,14661
199508,AM,15596
199509,AM,14537
199510,AM,14429
199511,AM,13951
199512,AM,15697
199601,AM,13818
199602,AM,12828
199603,AM,14596
199604,AM,18131
199605,AM,19662
199606,AM,12435
199607,AM,16782
199608,AM,16773
199609,AM,15775
199610,AM,20586
199611,AM,20170
199612,AM,20997
199701,AM,19845
199702,AM,15849
199703,AM,15174
199704,AM,18316
199705,AM,19322
199706,AM,20241
199707,AM,24938
199708,AM,27700
199709,AM,29178
199710,AM,28853
199711,AM,27167
199712,AM,32152
199801,AM,23734
199802,AM,19099
199803,AM,22427
199804,AM,21954
199805,AM,23790
199806,AM,22804
199807,AM,22424
199808,AM,21121
199809,AM,23593
199810,AM,24190
199811,AM,23581
199812,AM,23148
199901,AM,18732
199902,AM,20141
199903,AM,22327
199904,AM,22594
199905,AM,22808
199906,AM,26883
199907,AM,31644
199908,AM,29193
199909,AM,27479
199910,AM,30200
199911,AM,38965
199912,AM,36195
200001,AM,28660
200002,AM,26221
200003,AM,25615
200004,AM,22327
200005,AM,32852
200006,AM,31678
200007,AM,33482
200008,AM,33474
200009,AM,27961
200010,AM,34367
200011,AM,33083
200012,AM,33434
200101,AM,47333.333333333336
200102,AM,47333.333333333336
200103,AM,47333.333333333336
200104,AM,47333.333333333336
200105,AM,47333.333333333336
200106,AM,47333.333333333336
200107,AM,47333.333333333336
200108,AM,47333.333333333336
200109,AM,47333.333333333336
200110,AM,47333.333333333336
200111,AM,47333.333333333336
200112,AM,47333.333333333336
200201,AM,47500.0
200202,AM,47500.0
200203,AM,47500.0
200204,AM,47500.0
200205,AM,47500.0
200206,AM,47500.0
200207,AM,47500.0
200208,AM,47500.0
200209,AM,47500.0
200210,AM,47500.0
200211,AM,47500.0
200212,AM,47500.0
200301,AM,28193.0
200302,AM,31226.0
200303,AM,33484.0
200304,AM,31596.0
200305,AM,32919.0
200306,AM,32198.0
200307,AM,37274.0
200308,AM,37605.0
200309,AM,38386.0
200310,AM,39519.0
200311,AM,39614.0
200312,AM,36333.0
200401,AM,34293.0
200402,AM,48622.852
200403,AM,34554.525
200404,AM,57805.072
200405,AM,39036.0
200406,AM,55435.6
200407,AM,56241.96
200408,AM,58104.524000000005
200409,AM,41072.0
200410,AM,55694.057
200411,AM,44211.0
200412,AM,62309.776
200501,AM,39696.0
200502,AM,56004.937999999995
200503,AM,39376.0
200504,AM,59327.426
200505,AM,40816.0
200506,AM,58167.288
200507,AM,46075.0
200508,AM,61321.4
200509,AM,49763.0
200510,AM,59289.95
200511,AM,58858.12
200512,AM,44592.0
200601,AM,51658.0
200602,AM,47766.0
200603,AM,63751.501000000004
200604,AM,39106.0
200605,AM,56475.867
200606,AM,41108.0
200607,AM,59762.7
200608,AM,63997.04
200609,AM,56749.14
200610,AM,50073.953
200611,AM,58840.6
200612,AM,36857.0
200701,AM,57622.0
200702,AM,51061.0
200703,AM,57695.0
200704,AM,55162.0
200705,AM,41137.0
200706,AM,62169.0
200707,AM,59404.0
200708,AM,64462.0
200709,AM,57133.0
200710,AM,53736.0
200711,AM,54047.0
200712,AM,53303.0
200801,AM,77287
200802,AM,42181
200803,AM,56733
200804,AM,63010
200805,AM,61179
200806,AM,46974
200807,AM,72652
200808,AM,66121
200809,AM,87346
200810,AM,56694
200811,AM,71614
200812,AM,67442
200901,AM,57070
200902,AM,54492
200903,AM,58917
200904,AM,57781
200905,AM,59290
200906,AM,58250
200907,AM,61630
200908,AM,61355
200909,AM,63019
200910,AM,83067
200911,AM,63231
200912,AM,66150
201001,AM,61815
201002,AM,49654
201003,AM,72659
201004,AM,64381
201005,AM,63810
201006,AM,63905
201007,AM,64854
201008,AM,62407
201009,AM,70814
201010,AM,70916
201011,AM,71753
201012,AM,79148
201101,AM,71494
201102,AM,64471
201103,AM,72246
201104,AM,70211.0
201105,AM,78267.0
201106,AM,77957.0
201107,AM,69125.0
201108,AM,91194.0
201109,AM,86092.0
