estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego
PI,199102,9879972.556404583,65.9996602,0.34574000396515153,2582075.0,390863.17980284145,11.54,9.53,21.11,3.384407444,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351
PR,199102,100894291.7726279,905.7850697500003,1.0819426892704544,8448620.0,10163835.767539859,11.54,9.53,21.11,3.384407444,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145
RJ,199102,254904569.28059146,1661.7149206666668,1.8018015041924242,12807197.0,13433879.460956289,11.54,9.53,21.11,3.384407444,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871
RN,199102,9908903.89215906,108.56090164999998,0.37002834352499997,2415077.0,1311192.7532256814,11.54,9.53,21.11,3.384407444,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525
RO,199102,8196868.922959619,68.31232586666667,0.6450214422515153,1133265.0,860999.513512912,11.54,9.53,21.11,3.384407444,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991
RR,199102,2305350.683195924,15.504410646666665,0.9420283300939395,217583.0,100314.15199622809,11.54,9.53,21.11,3.384407444,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912
RS,199102,122483585.065629,1171.7160888333333,1.2119595916492427,9138463.0,7753432.169865271,11.54,9.53,21.11,3.384407444,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091
SC,199102,72589514.68530038,534.8387264166666,1.4426435686113634,4542048.0,2429580.0630170396,11.54,9.53,21.11,3.384407444,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367
SE,199102,11704336.762782425,87.44295840833334,0.7073465139886362,1491878.0,1075581.227554924,11.54,9.53,21.11,3.384407444,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202
SP,199102,667968464.7977626,5333.6646275,1.9084513514871206,31588794.0,35058176.566893846,11.54,9.53,21.11,3.384407444,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392
TO,199102,6361492.8380594095,24.344782541666667,0.6243561407098484,918400.0,2477.472425806483,11.54,9.53,21.11,3.384407444,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559
AC,199103,3311089.9690670064,25.465328355833332,0.7120333267553028,417102.0,188471.75238350633,18.27,12.8,7.25,1.440015182,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199103,14261955.934867164,132.68504023583333,0.5110673122924243,2512658.0,1001213.579111005,18.27,12.8,7.25,1.440015182,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199103,14832749.059177142,326.76445600833335,0.6324924042848485,2102766.0,1749984.7371826298,18.27,12.8,7.25,1.440015182,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199103,2578395.9420922054,30.0953679475,0.7964171262348484,289035.0,73813.40635817708,18.27,12.8,7.25,1.440015182,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199103,64533646.3673767,831.3091639916667,0.4900411658098484,11867336.0,6078409.446129295,18.27,12.8,7.25,1.440015182,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199103,30162370.24642908,324.2313463833333,0.42754435202651514,6366132.0,3178303.393705751,18.27,12.8,7.25,1.440015182,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199103,68347420.4588466,372.2108838,3.8372568392818183,1601093.0,1696026.39626434,18.27,12.8,7.25,1.440015182,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199103,32584010.758076932,310.07330609166667,1.1281473189363636,2600619.0,2550112.17751415,18.27,12.8,7.25,1.440015182,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199103,41497930.81542947,341.12425371666666,0.9297797606575761,4017506.0,2386618.060670324,18.27,12.8,7.25,1.440015182,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
MA,199103,20930935.22284974,150.85899989749998,0.3828153062772727,4929676.0,793907.6742454881,18.27,12.8,7.25,1.440015182,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244
MG,199103,181646136.94955245,1761.6591129166666,1.0421853603431819,15743536.0,15209780.98194727,18.27,12.8,7.25,1.440015182,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601
MS,199103,17591651.30754937,182.4736833333333,0.8893803814045452,1780385.0,1525505.877995458,18.27,12.8,7.25,1.440015182,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681
MT,199103,15565547.203977123,164.0841845775,0.6850151025537877,2026069.0,914759.5834411288,18.27,12.8,7.25,1.440015182,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968
PA,199103,38669891.431376435,382.8789023583334,0.7009228589030303,4949222.0,2892863.669554133,18.27,12.8,7.25,1.440015182,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809
PB,199103,15156721.590325635,158.18966843666666,0.4279592213113636,3201324.0,1154595.1234273233,18.27,12.8,7.25,1.440015182,0.679,0.515,0.298,11.17,4782146.58522158,5.5730865914
PE,199103,47335481.56547706,520.6822828333334,0.6000965887204546,7127956.0,3849659.6313691693,18.27,12.8,7.25,1.440015182,0.64,0.644,0.194,11.17,4782146.58522158,8.2645197051
PI,199103,9920724.01571101,84.58179658333333,0.34670539162196967,2582075.0,391235.9583586048,18.27,12.8,7.25,1.440015182,0.617,0.567,0.242,11.17,4782146.58522158,4.4859060351
PR,199103,100891332.99717283,1139.8460049166667,1.0811195678742422,8448620.0,10068166.915287908,18.27,12.8,7.25,1.440015182,0.595,0.569,0.164,11.17,4782146.58522158,6.0546558145
RJ,199103,255051549.10889202,2173.9811251666665,1.8012263811598481,12807197.0,13404506.815307822,18.27,12.8,7.25,1.440015182,0.69,0.488,0.392,11.17,4782146.58522158,7.1656731871
RN,199103,10086775.021330867,141.08513584416664,0.37598600051666664,2415077.0,1332206.6799085299,18.27,12.8,7.25,1.440015182,0.591,0.696,0.242,11.17,4782146.58522158,8.1963422525
RO,199103,8224986.9925246425,84.77011160583334,0.6445230933780304,1133265.0,862081.5535619364,18.27,12.8,7.25,1.440015182,0.729,0.547,0.328,11.17,4782146.58522158,7.4314122991
RR,199103,2319411.518622764,19.137504271666664,0.9432552497962123,217583.0,102750.73877672458,18.27,12.8,7.25,1.440015182,0.635,0.667,0.181,11.17,4782146.58522158,6.6986022912
RS,199103,123490718.94941765,1482.3490566916666,1.2204670374068183,9138463.0,7643668.335442697,18.27,12.8,7.25,1.440015182,0.628,0.585,0.24,11.17,4782146.58522158,5.1546450091
SC,199103,72774253.27318498,674.4033463166667,1.4440983109560603,4542048.0,2453651.275277172,18.27,12.8,7.25,1.440015182,0.753,0.643,0.329,11.17,4782146.58522158,4.2607275367
SE,199103,11718937.605896175,114.02072540583333,0.7069743661439393,1491878.0,1061542.6802646716,18.27,12.8,7.25,1.440015182,0.73,0.648,0.363,11.17,4782146.58522158,7.4379297202
SP,199103,667676370.9764903,6748.352424000001,1.9046771624325758,31588794.0,34927970.442245014,18.27,12.8,7.25,1.440015182,0.581,0.729,0.211,11.17,4782146.58522158,8.8106222392
TO,199103,6381285.35077403,31.9492441875,0.625355678219697,918400.0,2446.768859551208,18.27,12.8,7.25,1.440015182,0.589,0.552,0.155,11.17,4782146.58522158,6.1001752559
AC,199104,3325852.9047274957,30.866312367499997,0.7136895469204544,417102.0,189231.1895130839,24.53,3.13,8.74,0.2182632105,0.645,0.647,0.176,11.17,4782146.58522158,9.2163144702
AL,199104,14294458.00385788,161.62652164666665,0.5114122031219698,2512658.0,978964.8805401486,24.53,3.13,8.74,0.2182632105,0.552,0.574,0.174,11.17,4782146.58522158,8.9808491103
AM,199104,14842276.974342091,393.8758221,0.6313953589272727,2102766.0,1760978.570615807,24.53,3.13,8.74,0.2182632105,0.668,0.527,0.254,11.17,4782146.58522158,11.5557304923
AP,199104,2590895.4600891774,36.621993015,0.7978938744022728,289035.0,74209.6734593739,24.53,3.13,8.74,0.2182632105,0.645,0.62,0.204,11.17,4782146.58522158,5.9229397628
BA,199104,64712683.07741128,1009.0966178166666,0.49064136420227267,11867336.0,6022040.864259428,24.53,3.13,8.74,0.2182632105,0.582,0.605,0.182,11.17,4782146.58522158,8.2114353503
CE,199104,30321042.29302205,400.6295097666666,0.4292306754689394,6366132.0,3267055.4258709066,24.53,3.13,8.74,0.2182632105,0.613,0.543,0.204,11.17,4782146.58522158,5.7108578194
DF,199104,68433108.55166377,473.0430641833333,3.834446933139394,1601093.0,1674141.4710640667,24.53,3.13,8.74,0.2182632105,0.731,0.532,0.419,11.17,4782146.58522158,8.4169350178
ES,199104,32782751.475037776,377.3326538166666,1.1330809238878785,2600619.0,2574401.7239476666,24.53,3.13,8.74,0.2182632105,0.686,0.762,0.304,11.17,4782146.58522158,7.2961765187
GO,199104,41587409.872933306,418.9149346833334,0.9302109998696974,4017506.0,2354752.058335468,24.53,3.13,8.74,0.2182632105,0.668,0.619,0.273,11.17,4782146.58522158,6.6636499637
MA,199104,21010274.449421465,184.05188146166665,0.38370938043257574,4929676.0,775952.180590002,24.53,3.13,8.74,0.2182632105,0.551,0.633,0.173,11.17,4782146.58522158,3.3580371244
MG,199104,182061247.15789193,2150.51407225,1.0433723763022729,15743536.0,15153145.582181301,24.53,3.13,8.74,0.2182632105,0.699,0.478,0.259,11.17,4782146.58522158,7.2408620601
MS,199104,17676822.72137898,222.9096231083333,0.8921050071151513,1780385.0,1518976.859779362,24.53,3.13,8.74,0.2182632105,0.654,0.641,0.221,11.17,4782146.58522158,6.0260523681
MT,199104,15669879.33912838,201.93779472166668,0.6873090171431818,2026069.0,916144.9466025353,24.53,3.13,8.74,0.2182632105,0.689,0.627,0.257,11.17,4782146.58522158,6.0826265968
PA,199104,38594647.69925776,465.39320355000007,0.6979610563712121,4949222.0,2887224.700594194,24.53,3.13,8.74,0.2182632105,0.565,0.618,0.191,11.17,4782146.58522158,8.9697684809
