estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
SC,2010-08-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.14,3.14,1.1,0.040203,0.86,0.773,0.697,0.74,6930862.75002851,5.6479605094,63877.0,215.9626353641399,19.0,0.38
SC,2010-09-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.21,3.6,1.1,0.040203,0.86,0.773,0.697,0.85,6930862.75002851,5.6479605094,28071.0,221.0961158565812,19.0,0.38
SC,2010-10-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.2,4.38,1.03,0.040203,0.86,0.773,0.697,0.93,6930862.75002851,5.6479605094,-999.0,225.72022572022573,19.0,0.38
SC,2010-11-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.37,5.25,1.58,0.040203,0.86,0.773,0.697,0.99,6930862.75002851,5.6479605094,238051.0,221.7903147671493,19.0,0.38
SC,2010-12-01,10872470.050578834,10872470.050578834,1.7118190945166667,9249121.99784322,6248436.0,0.67,5.91,0.38,0.04020769565,0.86,0.773,0.697,1.23,6930862.75002851,5.6479605094,42858.0,224.39888570805033,19.0,0.38
SC,2011-01-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.41,0.83,0.98,0.04089519048,0.86,0.773,0.697,1.22,7102235.53510611,3.6056575598,61142.0,232.847736344717,19.5,0.39
SC,2011-02-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.28,1.64,0.96,0.0420272,0.86,0.773,0.697,1.18,7102235.53510611,3.6056575598,106091.0,233.81435140498442,19.5,0.39
SC,2011-03-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.43,2.44,0.61,0.04364038095,0.86,0.773,0.697,1.15,7102235.53510611,3.6056575598,332074.0,235.06720511120483,19.5,0.39
SC,2011-04-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,1.06,3.23,0.5,0.04404368421,0.86,0.773,0.697,1.17,7102235.53510611,3.6056575598,148173.0,252.13568881147884,20.0,0.4
SC,2011-05-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,2.94,3.71,0.01,0.044698,0.86,0.773,0.697,1.11,7102235.53510611,3.6056575598,92481.0,260.305154267427,21.0,0.42
SC,2011-06-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.37,3.87,-0.13,0.04533085714,0.86,0.773,0.697,0.91,7102235.53510611,3.6056575598,490794.0,277.2451909661273,22.0,0.44
SC,2011-07-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.45,4.04,-0.05,0.04587866667,0.86,0.773,0.697,0.84,7102235.53510611,3.6056575598,115783.0,281.3410590481294,22.0,0.44
SC,2011-08-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.13,4.42,0.61,0.04646017391,0.86,0.773,0.697,0.78,7102235.53510611,3.6056575598,51906.0,262.9916800975737,21.0,0.42
SC,2011-09-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.14,4.97,0.75,0.04464585714,0.86,0.773,0.697,0.73,7102235.53510611,3.6056575598,82322.0,240.03069780352865,21.0,0.42
SC,2011-10-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.23,5.43,0.4,0.04391405,0.86,0.773,0.697,0.7,7102235.53510611,3.6056575598,-999.0,242.58562426307566,21.5,0.43
SC,2011-11-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.72,5.97,0.43,0.042849,0.86,0.773,0.697,0.64,7102235.53510611,3.6056575598,238368.0,240.15772218778105,21.5,0.43
SC,2011-12-01,11304981.807432167,12245397.14440425,1.7895971456666666,9186029.26918417,6317054.0,0.11,6.5,-0.16,0.04106463636,0.86,0.773,0.697,0.46,7102235.53510611,3.6056575598,50154.0,234.0917808049689,21.5,0.43
SC,2012-01-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.89,0.56,0.3,0.0403295,0.84,0.773,0.74,0.38,7283723.05855449,3.1447181184,56911.0,240.26617225001903,21.5,0.43
SC,2012-02-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.3,1.01,0.07,0.03927,0.84,0.773,0.74,0.3,7283723.05855449,3.1447181184,119668.0,250.2335410955757,21.5,0.43
SC,2012-03-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.51,1.22,0.56,0.037179,0.84,0.773,0.74,0.26,7283723.05855449,8.0,340503.0,239.5130744769197,21.5,0.43
SC,2012-04-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.75,1.87,1.02,0.035474,0.84,0.773,0.74,0.25,7283723.05855449,7.8,147904.0,231.82655060962296,21.5,0.43
SC,2012-05-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,1.88,2.24,0.91,0.03373136364,0.84,0.773,0.74,0.35,7283723.05855449,7.7,94166.0,216.51660036894793,21.5,0.43
SC,2012-06-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.73,2.32,0.69,0.0319778,0.84,0.773,0.74,0.51,7283723.05855449,7.6,476109.0,209.83849755635748,21.5,0.43
SC,2012-07-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.67,2.76,1.52,0.03080763636,0.84,0.773,0.74,0.61,7283723.05855449,7.5,126482.0,211.95459780158717,21.5,0.43
SC,2012-08-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.26,3.18,1.29,0.02997965217,0.84,0.773,0.74,0.79,7283723.05855449,7.4,57884.0,211.88074691712444,21.5,0.43
SC,2012-09-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.22,3.77,0.88,0.028296,0.84,0.773,0.74,0.88,7283723.05855449,7.1,116748.0,212.02330439747232,21.5,0.43
SC,2012-10-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.21,4.38,-0.31,0.02770736364,0.84,0.773,0.74,0.89,7283723.05855449,7.0,-999.0,211.83878754764135,21.5,0.43
SC,2012-11-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.33,5.01,0.25,0.027371,0.84,0.773,0.74,0.84,7283723.05855449,6.8,259786.0,203.11933260790713,21.0,0.42
SC,2012-12-01,11549838.654092083,13504357.270691665,1.81523204555,9578462.19243024,6383286.0,0.16,5.84,0.66,0.02743595,0.84,0.773,0.74,0.88,7283723.05855449,6.9,48285.0,202.13347065575473,21.0,0.42
SC,2013-01-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.65,0.86,0.31,0.02726,0.85,0.773,0.76,0.98,7469859.82561107,7.3,69129.0,211.7103104711561,21.5,0.43
SC,2013-02-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.6,1.47,0.2,0.0273115,0.85,0.773,0.76,1.0,7469859.82561107,7.8,110483.0,217.89375005278427,21.5,0.43
SC,2013-03-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.5,1.94,0.31,0.02739875,0.85,0.773,0.76,1.03,7469859.82561107,8.1,344136.0,216.86066450142218,21.5,0.43
SC,2013-04-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.74,2.5,-0.06,0.02781163636,0.85,0.773,0.76,0.98,7469859.82561107,7.9,160348.0,214.76229718470694,21.5,0.43
SC,2013-05-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,2.25,2.88,0.32,0.02842080952,0.85,0.773,0.76,0.88,7469859.82561107,7.7,116111.0,211.31852933536464,21.5,0.43
SC,2013-06-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,1.15,3.15,0.76,0.030177,0.85,0.773,0.76,0.76,7469859.82561107,7.5,503335.0,197.88720889295908,21.5,0.43
SC,2013-07-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.48,3.18,0.14,0.03137373913,0.85,0.773,0.76,0.82,7469859.82561107,7.4,134616.0,190.92700951160137,21.5,0.43
SC,2013-08-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.31,3.43,0.46,0.03217809091,0.85,0.773,0.76,0.73,7469859.82561107,7.2,59364.0,189.38480349491516,21.5,0.43
SC,2013-09-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.43,3.79,1.36,0.033839,0.85,0.773,0.76,0.63,7469859.82561107,7.0,128676.0,189.38480349491516,21.5,0.43
SC,2013-10-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.26,4.38,0.63,0.03510369565,0.85,0.773,0.76,0.71,7469859.82561107,6.8,-999.0,201.03736871485074,22.0,0.44
SC,2013-11-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.35,4.95,0.28,0.0358381,0.85,0.773,0.76,0.81,7469859.82561107,6.6,190910.0,191.69189883895703,22.0,0.44
SC,2013-12-01,11997874.967658333,15080968.673380917,1.8084738642333333,8856104.875086,6634254.0,0.1,5.91,0.69,0.0374662381,0.85,0.773,0.76,0.82,7469859.82561107,6.3,37994.0,187.5944062758856,22.0,0.44
SC,2014-01-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.88,0.55,0.4,0.03845090909,0.85,0.773,0.77,0.77,7640474.20151994,6.5,-999.0,184.70251065664792,22.0,0.44
SC,2014-02-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.33,1.24,0.85,0.0393598,0.85,0.773,0.77,0.75,7640474.20151994,6.8,-999.0,184.58853537387571,22.0,0.44
SC,2014-03-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.28,2.18,1.48,0.040168,0.85,0.773,0.77,0.84,7640474.20151994,7.2,-999.0,189.15867380763285,22.0,0.44
SC,2014-04-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.88,2.86,0.45,0.0409735,0.85,0.773,0.77,1.0,7640474.20151994,7.2,-999.0,206.02211602628117,23.0,0.46
SC,2014-05-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,2.05,3.33,-0.45,0.041063,0.85,0.773,0.77,1.06,7640474.20151994,7.1,-999.0,207.1250147410402,23.0,0.46
SC,2014-06-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.66,3.75,-0.63,0.041063,0.85,0.773,0.77,1.04,7640474.20151994,6.9,-999.0,210.24661480583504,23.5,0.47
SC,2014-07-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.75,3.76,-0.55,0.041063,0.85,0.773,0.77,0.93,7640474.20151994,7.0,-999.0,211.2693948626944,23.5,0.47
SC,2014-08-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.08,4.02,0.06,0.04106814286,0.85,0.773,0.77,0.9,7640474.20151994,7.0,-999.0,207.22842997694664,23.5,0.47
SC,2014-09-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.15,4.61,0.02,0.041063,0.85,0.773,0.77,0.96,7640474.20151994,6.9,-999.0,201.46873435158827,23.5,0.47
SC,2014-10-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.17,5.05,0.59,0.04114073913,0.85,0.773,0.77,0.87,7640474.20151994,6.7,-999.0,191.97300657076894,23.5,0.47
SC,2014-11-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.44,5.58,1.14,0.041957,0.85,0.773,0.77,0.91,7640474.20151994,6.6,-999.0,184.4319789355136,23.5,0.47
SC,2014-12-01,12591729.702084916,17069358.445320167,1.8717783081416668,8589548.8503574,6727148.0,0.08,6.41,0.38,0.043496,0.85,0.773,0.77,1.12,7640474.20151994,6.6,-999.0,178.07322701753176,23.5,0.47
SC,2015-01-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.92,1.24,0.67,0.04433033333,0.86,0.773,0.77,1.04,7751228.17009106,6.9,-999.0,178.420356189939,23.5,0.47
SC,2015-02-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.31,2.48,0.53,0.045513,0.86,0.773,0.77,1.08,7751228.17009106,7.5,-999.0,170.42731097658395,24.0,0.48
SC,2015-03-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.62,3.83,1.21,0.04703818182,0.86,0.773,0.77,1.09,7751228.17009106,8.0,-999.0,156.07693811216402,24.5,0.49
SC,2015-04-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.46,4.56,0.92,0.04737575,0.86,0.773,0.77,1.03,7751228.17009106,8.1,-999.0,164.29965628511903,25.0,0.5
SC,2015-05-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.95,5.34,0.4,0.049037,0.86,0.773,0.77,1.05,7751228.17009106,8.3,-999.0,166.57330940338994,25.5,0.51
SC,2015-06-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,1.84,6.17,0.68,0.05053785714,0.86,0.773,0.77,1.13,7751228.17009106,8.4,-999.0,163.89554145975686,25.5,0.51
SC,2015-07-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.55,6.83,0.58,0.05093956522,0.86,0.773,0.77,1.27,7751228.17009106,8.7,-999.0,158.23062281893314,25.5,0.51
SC,2015-08-01,11982526.28628625,17472535.117173415,1.7571773607,8644233.43110989,6819190.0,0.59,7.06,0.4,0.052531,0.86,0.773,0.77,1.36,7751228.17009106,8.9,-999.0,145.12116465493412,25.5,0.51
