estados,data,consumo
AC,1991-11-01,2232.0
AM,1991-11-01,22913.0
RR,1991-11-01,1776.0
PA,1991-11-01,32945.0
AP,1991-11-01,3690.0
TO,1991-11-01,7160.0
MA,1991-11-01,18395.0
PI,1991-11-01,5622.0
CE,1991-11-01,61979.0
RN,1991-11-01,22029.0
PB,1991-11-01,27514.0
PE,1991-11-01,67743.0
AL,1991-11-01,26268.0
SE,1991-11-01,21865.0
BA,1991-11-01,95442.0
MG,1991-11-01,258402.0
ES,1991-11-01,52428.0
RJ,1991-11-01,254046.0
SP,1991-11-01,684244.0
PR,1991-11-01,144428.0
SC,1991-11-01,88013.0
RS,1991-11-01,127165.0
MT,1991-11-01,24927.0
MS,1991-11-01,26875.0
GO,1991-11-01,76791.0
DF,1991-11-01,47857.0
RO,1991-12-01,4861.0
AC,1991-12-01,455.0
AM,1991-12-01,22537.0
RR,1991-12-01,0.0
PA,1991-12-01,31593.0
AP,1991-12-01,3844.0
TO,1991-12-01,5154.0
MA,1991-12-01,16047.0
PI,1991-12-01,5334.0
CE,1991-12-01,57967.0
RN,1991-12-01,22991.0
PB,1991-12-01,30658.0
PE,1991-12-01,82609.0
AL,1991-12-01,25081.0
SE,1991-12-01,19459.0
BA,1991-12-01,90824.0
MG,1991-12-01,249327.0
ES,1991-12-01,48015.0
RJ,1991-12-01,218217.0
SP,1991-12-01,606754.0
PR,1991-12-01,118812.0
SC,1991-12-01,81246.0
RS,1991-12-01,125376.0
MT,1991-12-01,19653.0
MS,1991-12-01,21201.0
GO,1991-12-01,58335.0
DF,1991-12-01,40462.0
RO,1992-01-01,7778.0
AC,1992-01-01,683.0
AM,1992-01-01,17187.0
RR,1992-01-01,500.0
PA,1992-01-01,30506.0
AP,1992-01-01,3477.0
TO,1992-01-01,4987.0
MA,1992-01-01,17396.0
PI,1992-01-01,2899.0
CE,1992-01-01,65807.0
RN,1992-01-01,23511.0
PB,1992-01-01,24624.0
PE,1992-01-01,72184.0
AL,1992-01-01,23986.0
SE,1992-01-01,20559.0
BA,1992-01-01,81770.0
MG,1992-01-01,205819.0
ES,1992-01-01,42884.0
RJ,1992-01-01,216158.0
SP,1992-01-01,608709.0
PR,1992-01-01,145969.0
SC,1992-01-01,90897.0
RS,1992-01-01,123626.0
MT,1992-01-01,27867.0
MS,1992-01-01,27068.0
GO,1992-01-01,68807.0
DF,1992-01-01,39837.0
RO,1992-02-01,5671.0
AC,1992-02-01,3750.0
AM,1992-02-01,16352.0
RR,1992-02-01,0.0
PA,1992-02-01,25083.0
AP,1992-02-01,2771.0
TO,1992-02-01,4245.0
MA,1992-02-01,11253.0
PI,1992-02-01,4112.0
CE,1992-02-01,46788.0
RN,1992-02-01,15924.0
PB,1992-02-01,25570.0
PE,1992-02-01,63563.0
AL,1992-02-01,19716.0
SE,1992-02-01,17867.0
BA,1992-02-01,67101.0
MG,1992-02-01,183468.0
ES,1992-02-01,40577.0
RJ,1992-02-01,210691.0
SP,1992-02-01,579121.0
PR,1992-02-01,133746.0
SC,1992-02-01,77028.0
RS,1992-02-01,111175.0
MT,1992-02-01,20921.0
MS,1992-02-01,18678.0
GO,1992-02-01,57425.0
DF,1992-02-01,35572.0
RO,1992-03-01,5402.0
AC,1992-03-01,436.0
AM,1992-03-01,12420.0
RR,1992-03-01,2338.0
PA,1992-03-01,26618.0
AP,1992-03-01,2911.0
TO,1992-03-01,5451.0
MA,1992-03-01,12978.0
PI,1992-03-01,1825.0
CE,1992-03-01,46402.0
RN,1992-03-01,12214.0
PB,1992-03-01,21464.0
PE,1992-03-01,56463.0
AL,1992-03-01,18346.0
SE,1992-03-01,20331.0
BA,1992-03-01,81893.0
MG,1992-03-01,247080.0
ES,1992-03-01,44687.0
RJ,1992-03-01,210039.0
SP,1992-03-01,650926.0
PR,1992-03-01,132314.0
SC,1992-03-01,93309.0
RS,1992-03-01,123255.0
MT,1992-03-01,17129.0
MS,1992-03-01,23059.0
GO,1992-03-01,61084.0
DF,1992-03-01,39602.0
RO,1992-04-01,6761.0
AC,1992-04-01,747.0
AM,1992-04-01,12681.0
RR,1992-04-01,600.0
PA,1992-04-01,21761.0
AP,1992-04-01,4331.0
TO,1992-04-01,6542.0
MA,1992-04-01,16426.0
PI,1992-04-01,4369.0
CE,1992-04-01,42620.0
RN,1992-04-01,14212.0
PB,1992-04-01,20827.0
PE,1992-04-01,58902.0
AL,1992-04-01,18275.0
SE,1992-04-01,17562.0
BA,1992-04-01,83198.0
MG,1992-04-01,231754.0
ES,1992-04-01,42691.0
RJ,1992-04-01,192508.0
SP,1992-04-01,601831.0
PR,1992-04-01,126755.0
SC,1992-04-01,84023.0
RS,1992-04-01,107925.0
MT,1992-04-01,22920.0
MS,1992-04-01,21306.0
GO,1992-04-01,54933.0
DF,1992-04-01,39868.0
RO,1992-05-01,6219.0
AC,1992-05-01,2893.0
AM,1992-05-01,14915.0
RR,1992-05-01,0.0
PA,1992-05-01,22374.0
AP,1992-05-01,4386.0
TO,1992-05-01,7359.0
MA,1992-05-01,21023.0
PI,1992-05-01,5413.0
CE,1992-05-01,43928.0
RN,1992-05-01,13968.0
PB,1992-05-01,22141.0
PE,1992-05-01,55392.0
AL,1992-05-01,19135.0
SE,1992-05-01,21106.0
BA,1992-05-01,85394.0
MG,1992-05-01,233234.0
ES,1992-05-01,44406.0
RJ,1992-05-01,198313.0
SP,1992-05-01,640658.0
PR,1992-05-01,126725.0
SC,1992-05-01,86292.0
RS,1992-05-01,117550.0
MT,1992-05-01,22351.0
MS,1992-05-01,22512.0
GO,1992-05-01,60537.0
DF,1992-05-01,42426.0
RO,1992-06-01,8848.0
AC,1992-06-01,1197.0
AM,1992-06-01,19368.0
RR,1992-06-01,395.0
PA,1992-06-01,27413.0
AP,1992-06-01,3814.0
TO,1992-06-01,6890.0
MA,1992-06-01,24809.0
PI,1992-06-01,6014.0
CE,1992-06-01,47251.0
RN,1992-06-01,15647.0
PB,1992-06-01,21583.0
PE,1992-06-01,54722.0
AL,1992-06-01,17460.0
SE,1992-06-01,19603.0
BA,1992-06-01,81137.0
