estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque
AC,1988-12-01,277092.0119170625,0.00323969575,0.7175816772333333,274841.250573876,,27.72,980.21,28.89,1.2082005,,,,,4363469.54977332
AC,1989-01-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,31.99,37.49,36.56,1.0394753,,,,,4532649.72431482
AC,1989-02-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,13.92,60.56,11.8,0.9685312778,,,,,4532649.72431482
AC,1989-03-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,5.51,71.51,4.23,0.8885362381,,,,,4532649.72431482
AC,1989-04-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,6.12,85.8,5.17,0.5754592632,,,,,4532649.72431482
AC,1989-05-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,18.96,119.09,12.76,0.5166131905,,,,,4532649.72431482
AC,1989-06-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,29.86,181.86,26.76,1.103163182,,,,,4532649.72431482
AC,1989-07-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,41.43,260.05,37.88,1.372701952,,,,,4532649.72431482
AC,1989-08-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,43.05,381.43,36.48,1.329307913,,,,,4532649.72431482
AC,1989-09-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,39.56,562.25,38.92,1.64486845,,,,,4532649.72431482
AC,1989-10-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,39.22,825.62,39.7,1.874482762,,,,,4532649.72431482
AC,1989-11-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,41.39,1268.26,44.27,1.99355895,,,,,4532649.72431482
AC,1989-12-01,287734.5943726742,0.045642059916666665,0.7001761651749999,278643.341903727,,46.84,1972.91,49.39,2.51108765,,,,,4532649.72431482
AC,1990-01-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,64.68,67.55,71.9,2.375184773,,,,,4664396.41862331
AC,1990-02-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,70.25,194.44,71.68,3.384407444,,,,,4664396.41862331
AC,1990-03-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,78.41,437.02,81.32,1.440015182,,,,,4664396.41862331
AC,1990-04-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,1.67,520.37,11.33,0.2182632105,,,,,4664396.41862331
AC,1990-05-01,298324.0088860025,1.3330327575,0.708720886425,203948.594317474,,0.99,567.45,9.08,0.2520151818,,,,,4664396.41862331
