Data,IGP-DI - (% am) - Fundação Getulio Vargas. Conjuntura Econômica - IGP (FGV/Conj Econ - IGP) - IGP12_IGPDIG12,
196005,0.15,
196006,0.58,
196007,2.02,
196008,2.97,
196009,3.99,
196010,5.03,
196011,3.02,
196012,2.08,
196101,1.92,
196102,0.35,
196103,2.11,
196104,4.93,
196105,1.42,
196106,1.51,
196107,1.49,
196108,5.23,
196109,4.17,
196110,8.3,
196111,4.85,
196112,3.7,
196201,5.27,
196202,1.69,
196203,1.67,
196204,0.82,
196205,3.99,
196206,3.12,
196207,4.55,
196208,2.83,
196209,2.11,
196210,2.76,
196211,7.47,
196212,6.27,
196301,8.75,
196302,5.95,
196303,5.53,
196304,1.56,
196305,4.08,
196306,5.03,
196307,3.74,
196308,3.67,
196309,5.5,
196310,6.15,
196311,4.45,
196312,5.94,
196401,11.26,
196402,6.75,
196403,7.44,
196404,4.39,
196405,2.7,
196406,4.33,
196407,6.45,
196408,2.92,
196409,3.75,
196410,4.47,
196411,6.96,
196412,5.98,
196501,4.82,
196502,3.12,
196503,6.01,
196504,2.35,
196505,1.71,
196506,1.15,
196507,2.74,
196508,1.2,
196509,1.97,
196510,2.02,
196511,0.91,
196512,1.92,
196601,7.67,
196602,2.89,
196603,2.61,
196604,4.71,
196605,2.33,
196606,1.85,
196607,3.32,
196608,2.19,
196609,2.38,
196610,2.05,
196611,0.97,
196612,0.68,
196701,4.45,
196702,2.43,
196703,2.3,
196704,2.52,
196705,1.33,
196706,0.8,
196707,2.82,
196708,0.84,
196709,1.51,
196710,1.5,
196711,1.55,
196712,0.55,
196801,3.29,
196802,2.34,
196803,2.07,
196804,2.22,
196805,1.51,
196806,2.69,
196807,1.42,
196808,1.19,
196809,1.83,
196810,2.26,
196811,1.49,
196812,0.65,
196901,1.69,
196902,1.42,
196903,0.53,
196904,1.26,
196905,1.15,
196906,2.17,
196907,2.3,
196908,1.69,
196909,2.21,
196910,1.63,
196911,1.47,
196912,0.29,
197001,1.25,
197002,1.42,
197003,1.92,
197004,0.32,
197005,1.6,
197006,2.21,
197007,1.72,
197008,2.3,
197009,1.99,
197010,1.49,
197011,0.78,
197012,0.77,
197101,1.61,
197102,1.55,
197103,1.99,
197104,1.73,
197105,1.84,
197106,2.28,
197107,1.49,
197108,0.93,
197109,1.44,
197110,1.22,
197111,1.02,
197112,0.84,
197201,1.66,
197202,1.97,
197203,1.62,
197204,1.08,
197205,0.86,
197206,1.07,
197207,1.38,
197208,1.43,
197209,1.12,
197210,0.94,
197211,0.87,
197212,0.71,
197301,1.65,
197302,1.16,
197303,1.44,
197304,1.45,
197305,1.06,
197306,0.93,
197307,1.03,
197308,1.01,
197309,1.03,
197310,1.47,
197311,1.24,
197312,1.06,
197401,2.93,
197402,2.66,
197403,4.51,
197404,5.14,
197405,3.51,
197406,1.98,
197407,1.19,
197408,1.29,
197409,1.66,
197410,1.5,
197411,1.57,
197412,2.2,
197501,2.23,
197502,2.27,
197503,1.57,
197504,1.79,
197505,2.13,
197506,2.22,
197507,2.11,
197508,2.79,
197509,2.31,
197510,2.25,
197511,2.15,
197512,2.18,
197601,3.09,
197602,4.15,
197603,3.69,
197604,3.76,
197605,3.41,
197606,2.67,
197607,3.81,
197608,4.1,
197609,3.43,
197610,2.36,
197611,1.9,
197612,2.3,
197701,3.74,
197702,3.17,
197703,4.15,
197704,4.08,
197705,3.58,
197706,1.96,
197707,2.07,
197708,1.3,
197709,1.77,
197710,2.74,
197711,2.61,
197712,2.11,
197801,2.66,
197802,3.4,
197803,3.29,
197804,3.36,
197805,3.21,
197806,3.63,
197807,2.82,
197808,2.67,
197809,2.55,
197810,2.87,
197811,2.75,
197812,1.52,
197901,3.68,
197902,3.75,
197903,5.77,
197904,3.77,
197905,2.34,
197906,3.45,
197907,4.36,
197908,5.83,
197909,7.69,
197910,5.25,
197911,5.57,
197912,7.3,
198001,6.24,
198002,4.2,
198003,6.57,
198004,5.72,
198005,6.39,
198006,5.86,
198007,8.45,
198008,6.92,
198009,5.28,
198010,7.65,
198011,7.55,
198012,5.89,
198101,6.56,
198102,8.48,
198103,7.37,
198104,5.47,
198105,6.19,
198106,4.47,
198107,5.08,
198108,6.73,
198109,5.07,
198110,4.35,
198111,5.31,
198112,3.8,
198201,6.29,
198202,6.85,
198203,7.23,
198204,5.36,
198205,6.12,
198206,7.99,
198207,6.06,
198208,5.8,
198209,3.66,
198210,4.78,
198211,5,
198212,6.14,
198301,9.05,
198302,6.52,
198303,10.09,
198304,9.2,
198305,6.4,
198306,12.61,
198307,13.31,
198308,10.11,
198309,12.79,
198310,13.26,
198311,8.43,
198312,7.56,
198401,9.81,
198402,12.26,
198403,9.95,
198404,8.94,
198405,8.86,
198406,9.25,
198407,10.32,
198408,10.62,
198409,10.51,
198410,12.58,
198411,9.88,
198412,10.53,
198501,12.64,
198502,10.16,
198503,12.71,
198504,7.22,
198505,7.78,
198506,7.84,
198507,8.92,
198508,14,
198509,9.13,
198510,9.05,
198511,14.95,
198512,13.2,
198601,17.79,
198602,14.98,
198603,5.52,
198604,-0.58,
198605,0.32,
