data,estados,consumo
200101,MA,211406.0
200102,MG,3194717.0
200103,MS,328171.0
200104,MT,297419.0
200105,PA,374495.0
200106,PB,317919.0
200107,PE,820941.0
200108,PI,57059.0
200109,PR,1754721.0
200110,RJ,2799323.0
200111,RN,210801.0
200112,RO,107609.0
200201,RR,17914.0
200202,RS,1558336.0
200203,SC,1111517.0
200204,SE,231184.0
200205,SP,8240856.0
200206,TO,95998.0
200207,AC,21995.0
200208,AL,265202.0
200209,AM,229159.0
200210,AP,45360.0
200211,BA,1081446.0
200212,CE,657014.0
200301,DF,546604.0
200302,ES,577571.0
200303,GO,839426.0
200304,MA,218147.0
200305,MG,3112589.0
200306,MS,318996.0
200307,MT,302384.0
200308,PA,365294.0
200309,PB,313511.0
200310,PE,820502.0
200311,PI,59202.0
200312,PR,1727312.0
200401,RJ,2724536.0
200402,RN,210570.0
200403,RO,103155.0
200404,RR,18518.0
200405,RS,1537391.0
200406,SC,1103255.0
200407,SE,235679.0
200408,SP,8079834.0
200409,TO,91964.0
200410,AC,21199.0
200411,AL,261204.0
200412,AM,222560.0
200501,AP,47177.0
200502,BA,1062066.0
200503,CE,649076.0
200504,DF,547066.0
200505,ES,569100.0
200506,GO,824815.0
200507,MA,221901.0
200508,MG,3027947.0
200509,MS,308023.0
200510,MT,298404.0
200511,PA,353574.0
200512,PB,307936.0
200601,PE,812397.0
200602,PI,62262.0
200603,PR,1694044.0
200604,RJ,2685279.0
200605,RN,213472.0
200606,RO,96283.0
200607,RR,17143.0
200608,RS,1516125.0
200609,SC,1096493.0
200610,SE,239315.0
200611,SP,7905547.0
200612,TO,88582.0
200701,AC,20125.0
200702,AL,257700.0
200703,AM,218153.0
200704,AP,49295.0
200705,BA,1045175.0
200706,CE,645433.0
200707,DF,552116.0
200708,ES,561771.0
200709,GO,806876.0
200710,MA,224531.0
200711,MG,2937728.0
200712,MS,293543.0
200801,MT,297148.0
200802,PA,346851.0
200803,PB,299094.0
200804,PE,795411.0
200805,PI,64684.0
200806,PR,1664945.0
200807,RJ,2662305.0
200808,RN,210352.0
200809,RO,94223.0
200810,RR,18493.0
200811,RS,1480378.0
200812,SC,1091411.0
200901,SE,244753.0
200902,SP,7763110.0
200903,TO,83538.0
200904,AC,19722.0
200905,AL,247487.0
200906,AM,213549.0
200907,AP,51610.0
200908,BA,1032924.0
200909,CE,639385.0
200910,DF,561621.0
200911,ES,543466.0
200912,GO,781994.0
201001,MA,226581.0
201002,MG,2823851.0
201003,MS,289897.0
201004,MT,293791.0
201005,PA,343250.0
201006,PB,293417.0
201007,PE,778320.0
201008,PI,67150.0
201009,PR,1647013.0
201010,RJ,2632817.0
201011,RN,203800.0
201012,RO,85239.0
201101,RR,15193.0
201102,RS,1457701.0
201103,SC,1096915.0
201104,SE,247662.0
201105,SP,7576517.0
201106,TO,82373.0
201107,AC,18175.0
201108,AL,243868.0
201109,AM,215354.0
201110,AP,53304.0
201111,BA,1036656.0
201112,CE,641186.0
201201,DF,563537.0
201202,ES,530249.0
201203,GO,762704.0
201204,MA,228514.0
201205,MG,2776093.0
201206,MS,283983.0
201207,MT,294446.0
201208,PA,346513.0
201209,PB,292141.0
201210,PE,773843.0
201211,PI,68476.0
201212,PR,1643466.0
201301,RJ,2591458.0
201302,RN,197494.0
201303,RO,85965.0
201304,RR,13487.0
201305,RS,1458198.0
201306,SC,1103927.0
201307,SE,246763.0
201308,SP,7469446.0
201309,TO,83723.0
201310,AC,18147.0
201311,AL,244524.0
201312,AM,211343.0
201401,AP,55691.0
201402,BA,1034601.0
201403,CE,644814.0
201404,DF,570232.0
201405,ES,520506.0
201406,GO,764609.0
201407,MA,233139.0
201408,MG,2738228.0
201409,MS,288176.0
201410,MT,300181.0
201411,PA,352037.0
201412,PB,293225.0
201501,PE,763317.0
201502,PI,71071.0
201503,PR,1670681.0
201504,RJ,2589926.0
201505,RN,191719.0
201506,RO,87323.0
201507,RR,13787.0
201508,RS,1464584.0
201509,SC,1106182.0
201510,SE,248718.0
201511,SP,7430372.0
201512,TO,86106.0
201601,AC,17983.0
201602,AL,239145.0
201603,AM,209293.0
201604,AP,57303.0
201605,BA,1058042.0
201606,CE,636943.0
201607,DF,584477.0
201608,ES,519323.0
201609,GO,762413.0
201610,MA,234102.0
201611,MG,2753049.0
201612,MS,286687.0
201701,MT,299036.0
201702,PA,359191.0
201703,PB,290493.0
201704,PE,754190.0
201705,PI,78447.0
201706,PR,1670862.0
201707,RJ,2590396.0
201708,RN,180621.0
201709,RO,88285.0
201710,RR,14866.0
201711,RS,1450894.0
201712,SC,1096332.0
201801,SE,245717.0
201802,SP,7425066.0
201803,TO,88674.0
201804,AC,15925.0
201805,AL,235079.0
201806,AM,204531.0
201807,AP,58532.0
201808,BA,1076044.0
201809,CE,623199.0
201810,DF,599492.0
201811,ES,514230.0
201812,GO,756536.0
201901,MA,238113.0
201902,MG,2755114.0
201903,MS,288692.0
201904,MT,295682.0
201905,PA,356467.0
201906,PB,286155.0
201907,PE,741547.0
201908,PI,83105.0
201909,PR,1681612.0
201910,RJ,2568425.0
201911,RN,178209.0
201912,RO,88807.0
199101,RR,16350.0
199102,RS,1453906.0
199103,SC,1093807.0
199104,SE,241925.0
