data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
200103,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200104,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200105,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200106,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200107,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200108,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200109,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200110,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200111,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
200112,5166.666666666667,29583.333333333332,47333.333333333336,8583.333333333334,162333.33333333334,90333.33333333333,61333.333333333336,58750.0,123833.33333333333,47333.333333333336,346666.6666666667,41416.666666666664,59916.666666666664,89083.33333333333,42250.0,104750.0,24250.0,193333.33333333334,285916.6666666667,39083.333333333336,20250.0,5583.333333333333,177583.33333333334,151333.33333333334,22250.0,907166.6666666666,19416.666666666668
