,data,estados,consumo
709,201902,AL,30378.0
710,201903,AL,30641.0
711,201904,AL,32337.0
712,201905,AL,36405.0
713,201906,AL,22499.0
714,201907,AL,27961.0
715,201908,AL,32378.0
716,201909,AL,32582.0
717,201910,AL,42703.0
718,201911,AL,38584.0
719,201912,AL,36503.0
720,199001,AM,21819
721,199002,AM,22683
722,199003,AM,13819
723,199004,AM,16168
724,199005,AM,22104
725,199006,AM,23438
726,199007,AM,26307
727,199008,AM,31642
728,199009,AM,22546
729,199010,AM,21388
730,199011,AM,21923
731,199012,AM,17334
732,199101,AM,20044
733,199102,AM,15066
734,199103,AM,17933
735,199104,AM,20209
736,199105,AM,21554
737,199106,AM,24655
738,199107,AM,22014
739,199108,AM,22029
740,199109,AM,24394
741,199110,AM,24158
742,199111,AM,22913
743,199112,AM,22537
744,199201,AM,17187
745,199202,AM,16352
746,199203,AM,12420
747,199204,AM,12681
748,199205,AM,14915
749,199206,AM,19368
750,199207,AM,20205
751,199208,AM,15430
752,199209,AM,19987
753,199210,AM,19554
754,199211,AM,24718
755,199212,AM,18526
756,199301,AM,15137
757,199302,AM,11590
758,199303,AM,18516
759,199304,AM,16609
760,199305,AM,19403
761,199306,AM,26147
762,199307,AM,19653
763,199308,AM,20212
764,199309,AM,24880
765,199310,AM,28070
766,199311,AM,22143
767,199312,AM,24741
768,199401,AM,18396
769,199402,AM,15750
770,199403,AM,16463
771,199404,AM,14258
772,199405,AM,15742
773,199406,AM,17673
774,199407,AM,15535
775,199408,AM,21886
776,199409,AM,22241
777,199410,AM,27842
778,199411,AM,20896
779,199412,AM,15330
780,199501,AM,13700
781,199502,AM,11118
782,199503,AM,17396
783,199504,AM,15758
784,199505,AM,15642
785,199506,AM,13745
786,199507,AM,14661
787,199508,AM,15596
788,199509,AM,14537
789,199510,AM,14429
790,199511,AM,13951
791,199512,AM,15697
792,199601,AM,13818
793,199602,AM,12828
794,199603,AM,14596
795,199604,AM,18131
796,199605,AM,19662
797,199606,AM,12435
798,199607,AM,16782
799,199608,AM,16773
800,199609,AM,15775
801,199610,AM,20586
802,199611,AM,20170
803,199612,AM,20997
804,199701,AM,19845
805,199702,AM,15849
806,199703,AM,15174
807,199704,AM,18316
808,199705,AM,19322
809,199706,AM,20241
810,199707,AM,24938
811,199708,AM,27700
812,199709,AM,29178
813,199710,AM,28853
814,199711,AM,27167
815,199712,AM,32152
816,199801,AM,23734
817,199802,AM,19099
818,199803,AM,22427
819,199804,AM,21954
820,199805,AM,23790
821,199806,AM,22804
822,199807,AM,22424
823,199808,AM,21121
824,199809,AM,23593
825,199810,AM,24190
826,199811,AM,23581
827,199812,AM,23148
828,199901,AM,18732
829,199902,AM,20141
830,199903,AM,22327
831,199904,AM,22594
832,199905,AM,22808
833,199906,AM,26883
834,199907,AM,31644
835,199908,AM,29193
836,199909,AM,27479
837,199910,AM,30200
838,199911,AM,38965
839,199912,AM,36195
840,200001,AM,28660
841,200002,AM,26221
842,200003,AM,25615
843,200004,AM,22327
844,200005,AM,32852
845,200006,AM,31678
846,200007,AM,33482
847,200008,AM,33474
848,200009,AM,27961
849,200010,AM,34367
850,200011,AM,33083
851,200012,AM,33434
852,200101,AM,47333.333333333336
853,200102,AM,47333.333333333336
854,200103,AM,47333.333333333336
855,200104,AM,47333.333333333336
856,200105,AM,47333.333333333336
857,200106,AM,47333.333333333336
858,200107,AM,47333.333333333336
859,200108,AM,47333.333333333336
860,200109,AM,47333.333333333336
861,200110,AM,47333.333333333336
862,200111,AM,47333.333333333336
863,200112,AM,47333.333333333336
864,200201,AM,47500.0
865,200202,AM,47500.0
866,200203,AM,47500.0
867,200204,AM,47500.0
868,200205,AM,47500.0
869,200206,AM,47500.0
870,200207,AM,47500.0
871,200208,AM,47500.0
872,200209,AM,47500.0
873,200210,AM,47500.0
874,200211,AM,47500.0
875,200212,AM,47500.0
876,200301,AM,28193.0
877,200302,AM,31226.0
878,200303,AM,33484.0
879,200304,AM,31596.0
880,200305,AM,32919.0
881,200306,AM,32198.0
882,200307,AM,37274.0
883,200308,AM,37605.0
884,200309,AM,38386.0
885,200310,AM,39519.0
886,200311,AM,39614.0
887,200312,AM,36333.0
888,200401,AM,34293.0
889,200402,AM,48622.852
890,200403,AM,34554.525
891,200404,AM,57805.072
892,200405,AM,39036.0
893,200406,AM,55435.6
894,200407,AM,56241.96
895,200408,AM,58104.524000000005
896,200409,AM,41072.0
897,200410,AM,55694.057
898,200411,AM,44211.0
899,200412,AM,62309.776
900,200501,AM,39696.0
901,200502,AM,56004.937999999995
902,200503,AM,39376.0
903,200504,AM,59327.426
904,200505,AM,40816.0
905,200506,AM,58167.288
906,200507,AM,46075.0
907,200508,AM,61321.4
908,200509,AM,49763.0
909,200510,AM,59289.95
910,200511,AM,58858.12
911,200512,AM,44592.0
912,200601,AM,51658.0
913,200602,AM,47766.0
914,200603,AM,63751.501000000004
915,200604,AM,39106.0
916,200605,AM,56475.867
917,200606,AM,41108.0
918,200607,AM,59762.7
919,200608,AM,63997.04
920,200609,AM,56749.14
921,200610,AM,50073.953
922,200611,AM,58840.6
923,200612,AM,36857.0
924,200701,AM,57622.0
925,200702,AM,51061.0
926,200703,AM,57695.0
927,200704,AM,55162.0
928,200705,AM,41137.0
929,200706,AM,62169.0
930,200707,AM,59404.0
931,200708,AM,64462.0
932,200709,AM,57133.0
933,200710,AM,53736.0
934,200711,AM,54047.0
935,200712,AM,53303.0
936,200801,AM,77287
937,200802,AM,42181
938,200803,AM,56733
939,200804,AM,63010
940,200805,AM,61179
941,200806,AM,46974
942,200807,AM,72652
943,200808,AM,66121
944,200809,AM,87346
945,200810,AM,56694
946,200811,AM,71614
947,200812,AM,67442
948,200901,AM,57070
949,200902,AM,54492
950,200903,AM,58917
951,200904,AM,57781
952,200905,AM,59290
953,200906,AM,58250
954,200907,AM,61630
955,200908,AM,61355
956,200909,AM,63019
957,200910,AM,83067
958,200911,AM,63231
959,200912,AM,66150
960,201001,AM,61815
961,201002,AM,49654
962,201003,AM,72659
963,201004,AM,64381
964,201005,AM,63810
965,201006,AM,63905
966,201007,AM,64854
967,201008,AM,62407
968,201009,AM,70814
969,201010,AM,70916
970,201011,AM,71753
971,201012,AM,79148
972,201101,AM,71494
973,201102,AM,64471
974,201103,AM,72246
975,201104,AM,70211.0
976,201105,AM,78267.0
977,201106,AM,77957.0
978,201107,AM,69125.0
979,201108,AM,91194.0
980,201109,AM,86092.0
981,201110,AM,98275.0
982,201111,AM,81922.0
983,201112,AM,86757.0
984,201201,AM,81889.0
985,201202,AM,78002.0
986,201203,AM,81959.0
987,201204,AM,61107.0
988,201205,AM,97398.0
989,201206,AM,70266.0
990,201207,AM,97903.0
991,201208,AM,84966.0
992,201209,AM,95924.0
993,201210,AM,87178.0
994,201211,AM,79674.0
995,201212,AM,78666.0
996,201301,AM,77124.0
997,201302,AM,62791.0
998,201303,AM,109019.0
999,201304,AM,77024.0
1000,201305,AM,76369.0
1001,201306,AM,115120.0
1002,201307,AM,97534.0
1003,201308,AM,75820.0
1004,201309,AM,63070.0
1005,201310,AM,116893.0
1006,201311,AM,101635.0
1007,201312,AM,64207.0
1008,201401,AM,63088.0
1009,201402,AM,80430.0
1010,201403,AM,81788.0
1011,201404,AM,72995.0
1012,201405,AM,46056.0
1013,201406,AM,96525.0
1014,201407,AM,58639.0
1015,201408,AM,96194.0
1016,201409,AM,59788.0
1017,201410,AM,94092.0
1018,201411,AM,53720.0
1019,201412,AM,57359.0
1020,201501,AM,52653.0
1021,201502,AM,99260.0
1022,201503,AM,42052.0
1023,201504,AM,97889.0
1024,201505,AM,56390.0
1025,201506,AM,56425.0
1026,201507,AM,53669.0
1027,201508,AM,76548.0
1028,201509,AM,59783.0
1029,201510,AM,80269.0
1030,201511,AM,60089.0
1031,201512,AM,68085.0
1032,201601,AM,10150.0
1033,201602,AM,13800.0
1034,201603,AM,10761.0
1035,201604,AM,12340.0
1036,201605,AM,12832.0
1037,201606,AM,13952.0
1038,201607,AM,14225.0
1039,201608,AM,16078.0
1040,201609,AM,14524.0
1041,201610,AM,14342.0
1042,201611,AM,14289.0
1043,201612,AM,11401.0
1044,201701,AM,61287.0
1045,201702,AM,44068.0
1046,201703,AM,62847.0
1047,201704,AM,30374.0
1048,201705,AM,60003.0
1049,201706,AM,81014.0
1050,201707,AM,64862.0
1051,201708,AM,49885.0
1052,201709,AM,53130.0
1053,201710,AM,57796.0
1054,201711,AM,47026.0
1055,201712,AM,74919.0
1056,201801,AM,34733.0
1057,201802,AM,15022.0
1058,201803,AM,20879.0
1059,201804,AM,36409.0
1060,201805,AM,22277.0
1061,201806,AM,20529.0
1062,201807,AM,37061.0
1063,201808,AM,23387.0
1064,201809,AM,38399.0
1065,201810,AM,39652.0
1066,201811,AM,40204.0
1067,201812,AM,21625.0
1068,201901,AM,42731.0
1069,201902,AM,36026.0
1070,201903,AM,34609.0
1071,201904,AM,40787.0
1072,201905,AM,39823.0
1073,201906,AM,39957.0
1074,201907,AM,52048.0
1075,201908,AM,53567.0
1076,201909,AM,46239.0
1077,201910,AM,51066.0
1078,201911,AM,51684.0
1079,201912,AM,44907.0
1080,199001,AP,275
1081,199002,AP,1000
1082,199003,AP,1100
1083,199004,AP,1000
1084,199005,AP,2015
1085,199006,AP,2470
1086,199007,AP,2955
1087,199008,AP,2050
1088,199009,AP,2950
1089,199010,AP,2930
1090,199011,AP,2049
1091,199012,AP,2972
1092,199101,AP,2208
1093,199102,AP,379
1094,199103,AP,1464
1095,199104,AP,798
1096,199105,AP,1675
1097,199106,AP,2942
1098,199107,AP,3750
1099,199108,AP,2489
1100,199109,AP,3067
1101,199110,AP,4125
1102,199111,AP,3690
1103,199112,AP,3844
1104,199201,AP,3477
1105,199202,AP,2771
1106,199203,AP,2911
1107,199204,AP,4331
1108,199205,AP,4386
1109,199206,AP,3814
1110,199207,AP,6455
1111,199208,AP,4306
1112,199209,AP,5185
1113,199210,AP,6440
1114,199211,AP,5384
1115,199212,AP,6231
1116,199301,AP,5089
1117,199302,AP,4000
1118,199303,AP,2681
1119,199304,AP,5692
1120,199305,AP,4022
1121,199306,AP,4586
1122,199307,AP,5823
1123,199308,AP,5235
1124,199309,AP,5620
1125,199310,AP,4269
1126,199311,AP,4585
1127,199312,AP,3960
1128,199401,AP,5171
1129,199402,AP,3210
1130,199403,AP,2958
1131,199404,AP,3051
1132,199405,AP,2910
1133,199406,AP,2438
1134,199407,AP,2041
1135,199408,AP,3354
1136,199409,AP,3154
