estados,data,pib_pc,pib_pmc,pib_pcpt,populacao,pib_cc,ipca,incc,igp,selic,idh_long,idh_renda,idh_educacao,nfsp,estoque,desemprego,producao,consumo
SE,200303,16138428.710241828,8712374.868108852,0.7925454376628788,4990749.0,923762.012053182,90.08,27.77,1.66,0.06812395,0.8037,0.7338,0.6224,3.95,6172460.00795063,10.9882063723,147437.0,20059.0
SP,200303,750549492.8202838,405223460.066821,1.782741064215152,15941939.0,44660184.45267209,90.08,27.77,1.66,0.06812395,0.7089000000000001,0.7659,0.4081,3.95,6172460.00795063,11.8193510303,129339.0,774309.0
TO,200303,8441725.775714539,4565183.104883219,0.6334835399325757,1818175.0,813372.3958696761,90.08,27.77,1.66,0.06812395,0.7195,0.6188,0.4308,3.95,6172460.00795063,8.6346148858,137203.0,13334.0
AC,200304,4765242.1077112965,2604149.1360147456,0.7335220912378787,2026069.0,418380.0021766714,127.96,17.42,0.41,0.06696195455,0.7189,0.7061,0.3952,4.06,6172460.00795063,6.5827877908,172597.0,2643.0
AL,200304,18214273.72130248,9943089.544921432,0.571887668078788,4949222.0,858328.4884446891,127.96,17.42,0.41,0.06696195455,0.6794,0.6297,0.3534,4.06,6172460.00795063,9.0805148758,151995.0,25109.0
AM,200304,32002822.93746567,17508350.484868675,0.976024960085606,3201324.0,2057184.743741155,127.96,17.42,0.41,0.06696195455,0.7415999999999999,0.5941,0.4855,4.06,6172460.00795063,12.966132616500001,152727.0,31596.0
AP,200304,5095867.509601647,2780999.643263135,0.8888873759053034,7127956.0,291777.6412851045,127.96,17.42,0.41,0.06696195455,0.7259,0.6548,0.3951,4.06,6172460.00795063,20.539464085,92683.0,7122.0
BA,200304,88011289.28595419,48114405.44544751,0.599157980390909,2582075.0,5958118.752513581,127.96,17.42,0.41,0.06696195455,0.7109000000000001,0.6287,0.3989,4.06,6172460.00795063,10.7354322161,105642.0,126554.0
CE,200304,43621816.83290081,23845113.292758524,0.5161806206439393,8448620.0,2883586.605171503,127.96,17.42,0.41,0.06696195455,0.737,0.6147,0.4484,4.06,6172460.00795063,8.8572190713,101219.0,53928.0
DF,200304,80421927.43066101,43885220.83337602,3.3893041998803017,12807197.0,3897118.9488006337,127.96,17.42,0.41,0.06696195455,0.8317,0.6069,0.63,4.06,6172460.00795063,14.215384670499999,94729.0,48445.0
ES,200304,38902368.10677596,21267828.101255253,1.1000732218878786,2415077.0,2531886.596616707,127.96,17.42,0.41,0.06696195455,0.7944,0.8224,0.5396,4.06,6172460.00795063,10.6660929108,103394.0,50375.0
GO,200304,59919502.39424648,32777623.743149586,1.0401956564310604,1133265.0,3544671.421799275,127.96,17.42,0.41,0.06696195455,0.7892,0.7038,0.5011,4.06,6172460.00795063,6.9037377937999995,88915.0,98217.0
MA,200304,25951610.05715251,14217132.484625455,0.40512958331666665,217583.0,2294489.117367201,127.96,17.42,0.41,0.06696195455,0.6814,0.7028000000000001,0.387,4.06,6172460.00795063,5.9295673225,106506.0,25739.0
MG,200304,186002479.78721315,101731335.08311202,0.9189265237636364,9138463.0,9798865.118379783,127.96,17.42,0.41,0.06696195455,0.7763,0.5553,0.5002,4.06,6172460.00795063,10.107449129299999,104691.0,286594.0
MS,200304,26568102.68726256,14582820.911362268,1.1237230098621211,4542048.0,1292862.0501515246,127.96,17.42,0.41,0.06696195455,0.7643,0.7029000000000001,0.4887,4.06,6172460.00795063,8.495092209700001,96066.0,34283.0
MT,200304,30924410.55890478,17001778.843539525,1.0733212191909092,1491878.0,1949121.713151396,127.96,17.42,0.41,0.06696195455,0.7827,0.7019,0.5204,4.06,6172460.00795063,7.3542245385000005,103947.0,45467.0
PA,200304,41605708.75090176,22740228.214694336,0.5831324712249999,31588794.0,2116475.276662021,127.96,17.42,0.41,0.06696195455,0.7053,0.6950000000000001,0.3982,4.06,6172460.00795063,10.770494261700001,104306.0,76544.0
PB,200304,19926440.93286652,10897200.665656693,0.5173619073000001,918400.0,1057556.140132428,127.96,17.42,0.41,0.06696195455,0.7719,0.6042,0.5658000000000001,4.06,6172460.00795063,8.2913248577,91326.0,28571.0
PE,200304,53401076.18442857,29143538.21870301,0.5989928485681818,428006.0,5020502.638046796,127.96,17.42,0.41,0.06696195455,0.7442,0.7199,0.3817,4.06,6172460.00795063,11.005399803,42953.0,82302.0
PI,200304,11110272.235224834,6079902.50407485,0.3476436215356061,2548092.0,742268.9099140592,127.96,17.42,0.41,0.06696195455,0.7302,0.6145,0.4326,4.06,6172460.00795063,5.904790627300001,44601.0,14938.0
PR,200304,136864690.52808574,75022745.98669592,1.2657803656030304,2165852.0,6932826.679011718,127.96,17.42,0.41,0.06696195455,0.7063,0.6324,0.3748,4.06,6172460.00795063,7.7044727463,49219.0,180172.0
RJ,200304,273068086.5835835,149155992.98814452,1.6812396674204548,299305.0,18548272.14165636,127.96,17.42,0.41,0.06696195455,0.7685,0.5797,0.5735,4.06,6172460.00795063,11.7121955601,47291.0,243407.0
RN,200304,20789821.199001525,11350468.130908145,0.6603693939992425,12014023.0,1498706.836318599,127.96,17.42,0.41,0.06696195455,0.7276,0.7561,0.4563,4.06,6172460.00795063,7.255708857899999,46127.0,31224.0
RO,200304,11856227.073926207,6497743.0205760235,0.7491547642037879,6433713.0,945413.7356484673,127.96,17.42,0.41,0.06696195455,0.8148,0.629,0.5461,4.06,6172460.00795063,6.8787887412,52764.0,11859.0
RR,200304,3810451.040008992,2080073.7013304485,0.990990744187121,1639035.0,319537.4974562193,127.96,17.42,0.41,0.06696195455,0.7216,0.7347,0.4146,4.06,6172460.00795063,5.8989895206,54649.0,7259.0
RS,200304,149665458.91354883,81945280.91527759,1.3035602512765152,2649747.0,7020473.294417183,127.96,17.42,0.41,0.06696195455,0.7446,0.6714,0.5083,4.06,6172460.00795063,7.708314153300001,67400.0,178111.0
SC,200304,83074342.64886616,45443088.92456178,1.3608573160121211,4098513.0,4851261.434040906,127.96,17.42,0.41,0.06696195455,0.8264,0.6649,0.5773,4.06,6172460.00795063,4.9902867955,66252.0,144723.0
SE,200304,16135833.366648486,8819672.922298802,0.7913179510818182,4990749.0,895904.0896329415,127.96,17.42,0.41,0.06696195455,0.8037,0.7338,0.6224,4.06,6172460.00795063,10.9882063723,67985.0,19920.0
SP,200304,750735808.9619849,410393809.8690467,1.780948553672728,15941939.0,43562697.43365892,127.96,17.42,0.41,0.06696195455,0.7089000000000001,0.7659,0.4081,4.06,6172460.00795063,11.8193510303,52461.0,782071.0
TO,200304,8505409.648251953,4659492.917828234,0.6371176201530302,1818175.0,794837.3358336381,127.96,17.42,0.41,0.06696195455,0.7195,0.6188,0.4308,4.06,6172460.00795063,8.6346148858,55045.0,15173.0
AC,200305,4761503.849414428,2634111.82336725,0.7314273756393939,2026069.0,403076.0617594897,184.63,28.22,-0.67,0.06693057142999999,0.7189,0.7061,0.3952,3.94,6172460.00795063,6.5827877908,28018.0,2546.0
AL,200305,18133260.127531666,10018894.06796395,0.5688179189189394,4949222.0,827547.894458737,184.63,28.22,-0.67,0.06693057142999999,0.6794,0.6297,0.3534,3.94,6172460.00795063,9.0805148758,14332.0,25171.0
AM,200305,32096245.149101805,17778361.83383978,0.9768040972863636,3201324.0,2009099.8864751768,184.63,28.22,-0.67,0.06693057142999999,0.7415999999999999,0.5941,0.4855,3.94,6172460.00795063,12.966132616500001,14467.0,32919.0
AP,200305,5068188.520813117,2799298.210824476,0.8813435608348488,7127956.0,293201.85116770427,184.63,28.22,-0.67,0.06693057142999999,0.7259,0.6548,0.3951,3.94,6172460.00795063,20.539464085,14994.0,5267.0
BA,200305,88048924.98602568,48729708.2710559,0.5989564968795453,2582075.0,5789890.9066803325,184.63,28.22,-0.67,0.06693057142999999,0.7109000000000001,0.6287,0.3989,3.94,6172460.00795063,10.7354322161,19965.0,137331.0
CE,200305,43626525.72164673,24141988.68923949,0.5156052387446969,8448620.0,2799519.765170188,184.63,28.22,-0.67,0.06693057142999999,0.737,0.6147,0.4484,3.94,6172460.00795063,8.8572190713,19559.0,65334.0
DF,200305,79960753.80903207,44159874.26399051,3.3638350941681807,12807197.0,3684923.198669976,184.63,28.22,-0.67,0.06693057142999999,0.8317,0.6069,0.63,3.94,6172460.00795063,14.215384670499999,21393.0,51436.0
ES,200305,38922139.20697746,21541621.229782604,1.0991301705727272,2415077.0,2440206.907111058,184.63,28.22,-0.67,0.06693057142999999,0.7944,0.8224,0.5396,3.94,6172460.00795063,10.6660929108,22299.0,52576.0
GO,200305,60072183.08695526,33270267.25299624,1.0411028619553029,1133265.0,3474490.0587632386,184.63,28.22,-0.67,0.06693057142999999,0.7892,0.7038,0.5011,3.94,6172460.00795063,6.9037377937999995,22109.0,112540.0
MA,200305,26146787.957078725,14505392.312932232,0.407717270175,217583.0,2265302.886005286,184.63,28.22,-0.67,0.06693057142999999,0.6814,0.7028000000000001,0.387,3.94,6172460.00795063,5.9295673225,26037.0,30203.0
MG,200305,186370385.8786847,103199060.18119235,0.9197872454931818,9138463.0,9567374.105962342,184.63,28.22,-0.67,0.06693057142999999,0.7763,0.5553,0.5002,3.94,6172460.00795063,10.107449129299999,23311.0,312455.0
MS,200305,26940650.11181277,14978170.680506602,1.1380163848856062,4542048.0,1292886.2681179813,184.63,28.22,-0.67,0.06693057142999999,0.7643,0.7029000000000001,0.4887,3.94,6172460.00795063,8.495092209700001,27948.0,36066.0
MT,200305,31530122.15238096,17561815.52010966,1.092466925912879,1491878.0,1901760.62328082,184.63,28.22,-0.67,0.06693057142999999,0.7827,0.7019,0.5204,3.94,6172460.00795063,7.3542245385000005,42565.0,56246.0
PA,200305,41592809.2285284,23013290.26301899,0.5819701842833332,31588794.0,2075334.2516517597,184.63,28.22,-0.67,0.06693057142999999,0.7053,0.6950000000000001,0.3982,3.94,6172460.00795063,10.770494261700001,40029.0,83445.0
PB,200305,19957978.181636687,11049867.033581117,0.5178608206083334,918400.0,1027850.6503971928,184.63,28.22,-0.67,0.06693057142999999,0.7719,0.6042,0.5658000000000001,3.94,6172460.00795063,8.2913248577,41516.0,31613.0
PE,200305,53114943.62348864,29337571.21140108,0.5952812248075757,428006.0,4745889.110152088,184.63,28.22,-0.67,0.06693057142999999,0.7442,0.7199,0.3817,3.94,6172460.00795063,11.005399803,39776.0,80217.0
PI,200305,11152649.602859125,6179412.1400294835,0.3486881069530304,2548092.0,711523.7486942541,184.63,28.22,-0.67,0.06693057142999999,0.7302,0.6145,0.4326,3.94,6172460.00795063,5.904790627300001,48527.0,17765.0
