index,estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg
136,AC,1996-05-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,2.16,5.31,1.68,0.09062131818,0.645,0.574,0.176,3.13,5370309.20861707,8.4370293468,,,,
137,AC,1996-06-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,1.54,6.56,1.22,0.1031051579,0.645,0.574,0.176,3.0,5370309.20861707,8.4370293468,,,,
138,AC,1996-07-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.75,7.74,1.09,0.08308704348,0.645,0.574,0.176,2.94,5370309.20861707,8.4370293468,,,,
139,AC,1996-08-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.23,8.22,0.0,0.08862113636,0.645,0.574,0.176,2.77,5370309.20861707,8.4370293468,,,,
140,AC,1996-09-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.22,8.38,0.13,0.08985714286,0.645,0.574,0.176,2.78,5370309.20861707,8.4370293468,,,,
141,AC,1996-10-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.26,8.7,0.22,0.08374236364,0.645,0.574,0.176,2.72,5370309.20861707,8.4370293468,,,,
142,AC,1996-11-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.58,9.05,0.28,0.08945,0.645,0.574,0.176,2.57,5370309.20861707,8.4370293468,,,,
143,AC,1996-12-01,359061.8079717317,121637.12891666667,0.7094751143,312123.036297833,483593.0,0.59,9.56,0.88,0.08519047619,0.645,0.574,0.176,2.47,5370309.20861707,8.4370293468,,,,
144,AC,1997-01-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.32,1.18,1.58,0.07807572727,0.645,0.574,0.176,2.35,5513762.80209945,8.8876046117,,,,
145,AC,1997-02-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.48,1.69,0.42,0.09218516667,0.645,0.574,0.176,2.29,5513762.80209945,8.8876046117,,,,
146,AC,1997-03-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.73,2.21,1.16,0.08573694737,0.645,0.574,0.176,2.15,5513762.80209945,8.8876046117,,,,
147,AC,1997-04-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.23,3.1,0.59,0.07841266667,0.645,0.574,0.176,2.15,5513762.80209945,8.8876046117,,,,
148,AC,1997-05-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.86,3.53,0.3,0.07863325,0.645,0.574,0.176,2.02,5513762.80209945,8.8876046117,,,,
149,AC,1997-06-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,1.11,4.09,0.7,0.07593642857,0.645,0.574,0.176,1.92,5513762.80209945,8.8876046117,,,,
150,AC,1997-07-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.51,4.31,0.09,0.069203,0.645,0.574,0.176,1.86,5513762.80209945,8.8876046117,,,,
151,AC,1997-08-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,1.18,4.29,-0.04,0.07495242857,0.645,0.574,0.176,1.86,5513762.80209945,8.8876046117,,,,
152,AC,1997-09-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.27,4.36,0.59,0.07174245455,0.645,0.574,0.176,1.85,5513762.80209945,8.8876046117,,,,
153,AC,1997-10-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.15,4.6,0.34,0.07215956522,0.645,0.574,0.176,1.94,5513762.80209945,8.8876046117,,,,
154,AC,1997-11-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.54,4.77,0.83,0.15001665,0.645,0.574,0.176,2.08,5513762.80209945,8.8876046117,,,,
155,AC,1997-12-01,356092.46326132584,129608.87675,0.6851608137083334,338343.744622583,500185.0,0.23,5.22,0.69,0.1332272727,0.645,0.574,0.176,2.77,5513762.80209945,8.8876046117,,,,
156,AC,1998-01-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.33,0.71,0.88,0.1255526667,0.645,0.574,0.176,2.75,5656166.83373705,8.5355097927,,,,
157,AC,1998-02-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.48,1.17,0.02,0.117148,0.645,0.574,0.176,2.79,5656166.83373705,8.5355097927,,,,
158,AC,1998-03-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.47,1.52,0.23,0.09899745455,0.645,0.574,0.176,2.84,5656166.83373705,8.5355097927,,,,
159,AC,1998-04-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,-0.5,1.76,-0.13,0.08910821053,0.645,0.574,0.176,2.82,5656166.83373705,8.5355097927,,,,
160,AC,1998-05-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.98,2.27,0.23,0.08087735,0.645,0.574,0.176,2.79,5656166.83373705,8.5355097927,,,,
161,AC,1998-06-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.39,2.29,0.28,0.07572909524,0.645,0.574,0.176,2.8,5656166.83373705,8.5355097927,,,,
162,AC,1998-07-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.34,2.17,-0.38,0.07347834783,0.645,0.574,0.176,2.77,5656166.83373705,8.5355097927,,,,
163,AC,1998-08-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.22,1.65,-0.17,0.06981128571,0.645,0.574,0.176,2.73,5656166.83373705,8.5355097927,,,,
164,AC,1998-09-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.01,1.42,-0.02,0.1170751905,0.645,0.574,0.176,2.74,5656166.83373705,8.5355097927,,,,
165,AC,1998-10-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,0.01,1.44,-0.03,0.1381177619,0.645,0.574,0.176,2.65,5656166.83373705,8.5355097927,,,,
166,AC,1998-11-01,372221.97805043,141194.05474999998,0.6990031587583333,351139.437099347,514050.0,-0.05,1.32,-0.18,0.1299902,0.645,0.574,0.176,2.5,5656166.83373705,8.5355097927,,,,
