estados,data,pib_pc,pib_pmc,pib_pcpt,pib_cc,populacao,incc,ipca,igp,selic,idh_l,idh_r,idh_e,nfsp,estoque,desemprego,producao,preco_ton,preco_saco,preco_kg,consumo
SE,2014-04-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.28,2.18,1.48,0.040168,0.78,0.672,0.6,0.84,7640474.20151994,7.9,-999.0,168.52318211952746,19.6,0.392,53475.0
SE,2014-05-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.88,2.86,0.45,0.0409735,0.78,0.672,0.6,1.0,7640474.20151994,7.7,-999.0,179.14966610980971,20.0,0.4,53849.0
SE,2014-06-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,2.05,3.33,-0.45,0.041063,0.78,0.672,0.6,1.06,7640474.20151994,7.5,63724.0,180.10870847046974,20.0,0.4,47496.0
SE,2014-07-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.66,3.75,-0.63,0.041063,0.78,0.672,0.6,1.04,7640474.20151994,7.4,-999.0,178.93328919645535,20.0,0.4,52244.0
SE,2014-08-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.75,3.76,-0.55,0.041063,0.78,0.672,0.6,0.93,7640474.20151994,7.2,-999.0,179.8037403086761,20.0,0.4,50540.0
SE,2014-09-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.08,4.02,0.06,0.04106814286,0.78,0.672,0.6,0.9,7640474.20151994,7.0,-999.0,184.83012307731076,20.96,0.4192,55689.0
SE,2014-10-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.15,4.61,0.02,0.041063,0.78,0.672,0.6,0.96,7640474.20151994,6.8,165656.0,184.4939218402629,21.52,0.4304,59853.0
SE,2014-11-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.17,5.05,0.59,0.04114073913,0.78,0.672,0.6,0.87,7640474.20151994,6.6,-999.0,179.71941040667733,22.0,0.44,53096.0
SE,2014-12-01,2095559.3337963,2634055.176552742,0.9544088907083332,2080283.01258514,2195662.0,0.44,5.58,1.14,0.041957,0.78,0.672,0.6,0.91,7640474.20151994,6.3,-999.0,172.65972496090637,22.0,0.44,56542.0
SE,2015-01-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.08,6.41,0.38,0.043496,0.79,0.672,0.63,1.12,7640474.20151994,6.5,-999.0,168.60124685702476,22.25,0.445,51980.0
SE,2015-02-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.92,1.24,0.67,0.04433033333,0.79,0.672,0.63,1.04,7751228.17009106,6.8,-999.0,165.13373392047546,21.75,0.435,58223.0
SE,2015-03-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.31,2.48,0.53,0.045513,0.79,0.672,0.63,1.08,7751228.17009106,7.2,-999.0,156.22503506186862,22.0,0.44,65425.0
SE,2015-04-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.62,3.83,1.21,0.04703818182,0.79,0.672,0.63,1.09,7751228.17009106,7.2,-999.0,140.1507199374534,22.0,0.44,51473.0
SE,2015-05-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.46,4.56,0.92,0.04737575,0.79,0.672,0.63,1.03,7751228.17009106,7.1,-999.0,144.58369753090474,22.0,0.44,50144.0
SE,2015-06-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.95,5.34,0.4,0.049037,0.79,0.672,0.63,1.05,7751228.17009106,6.9,-999.0,143.71030615194425,22.0,0.44,47859.0
SE,2015-07-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,1.84,6.17,0.68,0.05053785714,0.79,0.672,0.63,1.13,7751228.17009106,7.0,-999.0,144.61371305272664,22.5,0.45,50122.0
SE,2015-08-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.55,6.83,0.58,0.05093956522,0.79,0.672,0.63,1.27,7751228.17009106,7.0,-999.0,139.61525542847042,22.5,0.45,52805.0
SE,2015-09-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.59,7.06,0.4,0.052531,0.79,0.672,0.63,1.36,7751228.17009106,6.9,-999.0,128.048086460236,22.5,0.45,57106.0
SE,2015-10-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.22,7.64,1.42,0.052531,0.79,0.672,0.63,1.34,7751228.17009106,6.7,-999.0,117.7537556865556,23.0,0.46,56419.0
SE,2015-11-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.36,8.52,1.76,0.052531,0.79,0.672,0.63,1.45,7751228.17009106,6.6,-999.0,103.08911440314468,20.0,0.4,54081.0
SE,2015-12-01,2069487.1120786169,2805398.316975575,0.9323803180583332,1844343.37070253,2219574.0,0.34,9.62,1.19,0.052531,0.79,0.672,0.63,1.49,7751228.17009106,6.6,-999.0,101.31234012805642,19.1301,0.382602,48408.0
SE,2016-01-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.1,10.67,0.44,0.052531,0.79,0.672,0.64,1.49,7751228.17009106,6.9,-999.0,99.19567897610526,19.2,0.384,42646.0
SE,2016-02-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.39,1.27,1.53,0.052531,0.79,0.672,0.64,1.55,7806241.86849827,7.5,-999.0,96.73399385541724,19.6,0.392,42366.0
SE,2016-03-01,1972142.1595782,2875714.3790892586,0.879267745625,1785577.56843497,2242937.0,0.54,2.18,0.79,0.052531,0.79,0.672,0.64,1.67,7806241.86849827,8.0,-999.0,100.66078507465453,20.0,0.4,46780.0
