data;estados;consumo;y_pred
2006-07-01;AL;21908,0;
2006-08-01;AL;26927,0;
2006-09-01;AL;26885,0;
2006-10-01;AL;27027,0;
2006-11-01;AL;30102,0;
2006-12-01;AL;28794,0;
2007-01-01;AL;34100,0;
2007-02-01;AL;27356,0;
2007-03-01;AL;31753,0;
2007-04-01;AL;28188,0;
2007-05-01;AL;29624,0;
2007-06-01;AL;25216,0;
2007-07-01;AL;26504,0;
2007-08-01;AL;27872,0;
2007-09-01;AL;28082,0;
2007-10-01;AL;35652,0;
2007-11-01;AL;35590,0;
2007-12-01;AL;33937,0;
2008-01-01;AL;38282,0;
2008-02-01;AL;32977,0;
2008-03-01;AL;35662,0;
2008-04-01;AL;39980,0;
2008-05-01;AL;34089,0;
2008-06-01;AL;32715,0;
2008-07-01;AL;34859,0;
2008-08-01;AL;36732,0;
2008-09-01;AL;37753,0;
2008-10-01;AL;43724,0;
2008-11-01;AL;38241,0;
2008-12-01;AL;41321,0;
2009-01-01;AL;39282,0;
2009-02-01;AL;33478,0;
2009-03-01;AL;41948,0;
2009-04-01;AL;38575,0;
2009-05-01;AL;33137,0;
2009-06-01;AL;31802,0;
2009-07-01;AL;39047,0;
2009-08-01;AL;36258,0;
2009-09-01;AL;40763,0;
2009-10-01;AL;46242,0;
2009-11-01;AL;45302,0;
2009-12-01;AL;45238,0;
2010-01-01;AL;46449,0;
2010-02-01;AL;41239,0;
2010-03-01;AL;51021,0;
2010-04-01;AL;46153,0;
2010-05-01;AL;47980,0;
2010-06-01;AL;39314,0;
2010-07-01;AL;45354,0;
2010-08-01;AL;51514,0;
2010-09-01;AL;50908,0;
2010-10-01;AL;50898,0;
2010-11-01;AL;55138,0;
2010-12-01;AL;57804,0;
2011-01-01;AL;61858,0;
2011-02-01;AL;60153,0;
2011-03-01;AL;76210,0;
2011-04-01;AL;59365,0;
2011-05-01;AL;51659,0;
2011-06-01;AL;55008,0;
2011-07-01;AL;53624,0;
2011-08-01;AL;63884,0;
2011-09-01;AL;59893,0;
2011-10-01;AL;65805,0;
2011-11-01;AL;66635,0;
2011-12-01;AL;68787,0;
2012-01-01;AL;72505,0;
2012-02-01;AL;70893,0;
2012-03-01;AL;89431,0;
2012-04-01;AL;73884,0;
2012-05-01;AL;75662,0;
2012-06-01;AL;60902,0;
2012-07-01;AL;60518,0;
2012-08-01;AL;64379,0;
2012-09-01;AL;64240,0;
2012-10-01;AL;73016,0;
2012-11-01;AL;74154,0;
2012-12-01;AL;65280,0;
2013-01-01;AL;73974,0;
2013-02-01;AL;63596,0;
2013-03-01;AL;72665,0;
2013-04-01;AL;71362,0;
2013-05-01;AL;62454,0;
2013-06-01;AL;56918,0;
2013-07-01;AL;59718,0;
2013-08-01;AL;60978,0;
2013-09-01;AL;65895,0;
2013-10-01;AL;73594,0;
2013-11-01;AL;68060,0;
2013-12-01;AL;62161,0;
2014-01-01;AL;72995,0;
2014-02-01;AL;78386,0;
