data,estados,previsao,dado_real,regiao
2018-12-01,DF,43077.266,40371.0,CENTRO OESTE
2018-12-01,ES,74739.805,94220.0,SUDESTE
2018-12-01,GO,206643.45,159002.0,CENTRO OESTE
2018-12-01,MA,77880.13,58591.0,NORDESTE
2018-12-01,MG,399942.3,416049.0,SUDESTE
2018-12-01,MS,65357.87,64332.0,CENTRO OESTE
2018-12-01,MT,95741.95,90690.0,CENTRO OESTE
2018-12-01,PA,128175.77,103294.0,NORTE
2018-12-01,PB,67807.38,57480.0,NORDESTE
2018-12-01,PE,151761.94,122278.0,NORDESTE
2018-12-01,PI,60554.074,45308.0,NORDESTE
2018-12-01,PR,324270.06,278117.0,SUL
2018-12-01,RJ,221076.94,190769.0,SUDESTE
2018-12-01,RN,56943.61,38245.0,NORDESTE
2018-12-01,RO,35310.055,29693.0,NORTE
2018-12-01,RR,8685.302,8108.0,NORTE
2018-12-01,RS,214786.88,201288.0,SUL
2018-12-01,SC,216436.64,214658.0,SUL
2018-12-01,SE,32577.318,30734.0,NORDESTE
2018-12-01,SP,837558.7,771417.0,SUDESTE
2018-12-01,TO,39746.766,28206.0,NORTE
2019-01-01,AC,12889.0,11188.0,NORTE
2019-01-01,AL,27462.846,32388.0,NORDESTE
2019-01-01,AM,43298.094,42731.0,NORTE
2019-01-01,AP,11434.843,9691.0,NORTE
2019-01-01,BA,259644.48,291428.0,NORDESTE
2019-01-01,CE,127864.29,151601.0,NORDESTE
2019-01-01,DF,49676.617,48990.0,CENTRO OESTE
2019-01-01,ES,75989.336,111377.0,SUDESTE
2019-01-01,GO,196017.92,178918.0,CENTRO OESTE
2019-01-01,MA,80161.15,70660.0,NORDESTE
2019-01-01,MG,385714.75,501489.0,SUDESTE
2019-01-01,MS,65504.016,77048.0,CENTRO OESTE
2019-01-01,MT,117286.414,102685.0,CENTRO OESTE
2019-01-01,PA,123183.17,110704.0,NORTE
2019-01-01,PB,67944.945,68053.0,NORDESTE
2019-01-01,PE,160691.64,149983.0,NORDESTE
2019-01-01,PI,57921.22,57142.0,NORDESTE
2019-01-01,PR,324973.38,323005.0,SUL
2019-01-01,RJ,226458.64,232609.0,SUDESTE
2019-01-01,RN,59145.406,46081.0,NORDESTE
2019-01-01,RO,36946.65,32559.0,NORTE
2019-01-01,RR,8646.888,9908.0,NORTE
2019-01-01,RS,217246.66,226547.0,SUL
2019-01-01,SC,214706.69,252700.0,SUL
2019-01-01,SE,32054.295,36567.0,NORDESTE
2019-01-01,SP,811796.44,860232.0,SUDESTE
2019-01-01,TO,35275.055,31615.0,NORTE
2019-02-01,AC,11285.655,10381.0,NORTE
2019-02-01,AL,36488.004,30378.0,NORDESTE
2019-02-01,AM,55485.484,36026.0,NORTE
2019-02-01,AP,20015.992,7378.0,NORTE
2019-02-01,BA,236052.94,249430.0,NORDESTE
2019-02-01,CE,125726.13,129537.0,NORDESTE
2019-02-01,DF,47487.15,44726.0,CENTRO OESTE
2019-02-01,ES,75556.84,98614.0,SUDESTE
2019-02-01,GO,161509.73,161936.0,CENTRO OESTE
2019-02-01,MA,66389.336,50796.0,NORDESTE
