,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Estado,Acre,Alagoas,Amazonas,Amapá,Bahia,Ceará,Distrito Federal,Espírito Santo,Goiás,Maranhão,Minas Gerais,Mato Grosso do Sul,Mato Grosso,Pará,Paraíba,Pernambuco,Piauí,Paraná,Rio de Janeiro,Rio Grande do Norte,Rondônia,Roraima,Rio Grande do Sul,Santa Catarina,Sergipe,São Paulo,Tocantins
199609,44959,279304,66839,238913,1459406,782686,681076,959172,1250389,360082,457100,420011,4877845,477040,381363,2351144,967510,222240,3852194,357013,1916941,131643,50179,1528626,11940039,245612,152337
199610,46501,289426,69716,252316,1516601,823203,684528,966636,1266709,378185,463487,423349,4943530,484662,394161,2371571,1007395,230522,3844101,379659,1965515,137528,51170,1554418,12037316,261203,151059
199611,46370,302777,71560,260583,1575273,863921,696097,959004,1277925,401147,470619,423654,4958528,489728,411140,2393832,1046624,234822,3828120,402426,1988615,143996,48409,1556061,12084965,270843,147437
199612,47245,320491,71172,267580,1642911,901619,697169,953310,1270860,421550,476039,419992,4980891,489836,431097,2379486,1086532,240928,3794663,419954,1987860,151019,46348,1541790,12063663,281146,142954
199701,48488,334665,72476,278735,1711065,936444,702202,947413,1269289,442343,480342,420672,4962559,498273,452200,2417555,1110804,253033,3800236,436488,2019236,157457,47163,1564316,12126102,290697,140493
199702,48501,352557,70918,282624,1766177,981418,703342,940101,1264541,469746,484306,422659,5013183,506982,467364,2451167,1139519,267827,3806882,449575,2026904,167597,46810,1574797,12237219,296252,140261
199703,49590,364918,72208,285874,1798568,999035,706180,931728,1260632,484464,488843,426943,4957300,519049,481924,2464828,1159432,271727,3771880,462794,2044029,170553,46512,1575507,12220989,300759,142671
199704,51440,381683,73589,293127,1865652,1024326,717049,934001,1268946,503979,495336,434034,4986793,539345,494083,2477096,1183663,277848,3798440,478349,2073189,178952,46813,1584439,12279405,307381,149246
199705,52020,392414,75068,296765,1905814,1048387,717672,920226,1260900,525938,495636,436767,4954898,555586,501909,2462097,1191334,287327,3784523,485247,2076221,185260,49272,1570951,12324288,313348,150781
199706,52038,402461,76236,301233,1940847,1069675,720914,918019,1258970,540314,498441,445709,4950684,570020,512115,2474790,1203919,294598,3770849,493727,2078751,186235,50619,1573434,12356360,316981,152274
199707,51184,407627,73518,303796,1980014,1081631,722169,911558,1245725,566614,496826,458170,4943491,586513,521426,2497244,1207285,305672,3765276,500756,2100549,191305,49431,1579799,12386323,316994,154805
199708,53160,413430,75344,301282,2012929,1105624,720941,902397,1231114,590004,495528,463773,4937349,601872,529744,2486215,1218685,315321,3772507,504328,2109236,197571,48908,1582407,12306706,319706,158397
199709,54389,416693,73847,294703,2055473,1104305,726398,900658,1222700,614905,503333,468266,4932950,617239,535117,2475076,1222479,324052,3779263,515218,2121058,200197,47441,1576548,12266225,320792,162531
199710,56314,417875,74101,289118,2104115,1122033,724518,905405,1210975,643084,505401,473641,4930601,637385,539673,2460291,1226646,330633,3784501,525285,2124039,200508,45830,1572944,12116893,324442,164681
199711,58368,417910,73236,284455,2141544,1126994,715330,896626,1195127,668019,499013,475234,4930584,655662,542615,2454715,1221525,341734,3767229,529264,2159817,201159,46386,1585424,11964841,329035,166944
199712,59438,417487,72776,280869,2176716,1136572,709967,885187,1191635,685750,497703,479638,4918115,681498,543424,2491301,1222618,344903,3768210,539962,2193735,203961,45277,1613766,11975981,330374,169100
199801,59392,415838,70013,271865,2195340,1158957,709259,887285,1192786,705905,498638,484379,4951620,692590,537919,2481091,1222975,347085,3765582,547929,2194651,203208,43863,1614028,11948004,332671,172091
199802,59566,409280,70998,266863,2225308,1150410,708792,887850,1189511,717705,498957,488490,4943550,703741,536202,2457089,1216829,348605,3761396,551956,2208127,198648,44398,1616718,11804235,334434,174378
199803,58799,406097,70234,267905,2266473,1160902,702079,886668,1175526,728795,501930,487056,5003132,722099,533324,2445463,1214932,354267,3777648,551986,2214567,199682,46496,1623947,11796331,335028,174569
199804,58537,402188,71160,267805,2302812,1166447,698397,887975,1171169,738328,506479,485922,5029678,726146,533591,2450295,1212095,362226,3770943,553401,2232727,198384,48227,1640661,11825600,338338,173589
199805,58094,399087,69512,268445,2338254,1160259,694412,891357,1163470,735301,510237,483883,5065452,734968,538943,2436115,1216717,362540,3764039,556579,2227038,197977,50717,1642514,11744741,336458,176359
199806,57999,396599,66449,267463,2373971,1153439,690401,896518,1150355,744438,514827,478985,5096768,743068,541197,2418254,1225001,367549,3780470,555400,2234195,199964,53203,1647760,11742500,334281,183467
199807,59181,397797,67846,271542,2392958,1154973,686811,893084,1146523,752199,523407,473810,5126885,756272,543037,2388648,1232372,371057,3797892,554296,2234079,201616,56051,1642468,11727178,333822,192742
199808,58182,398480,64140,280762,2423969,1149835,686016,881669,1142762,757319,525830,465124,5117934,767215,541564,2359276,1230733,372794,3771204,554680,2220488,202777,57667,1629929,11685949,328762,205711
199809,57569,399114,66096,288834,2429190,1158638,685975,872565,1142990,761435,525158,461631,5137434,782760,544064,2377285,1228045,374766,3805296,547706,2253932,204770,58278,1653864,11679322,323089,218222
199810,56319,397754,67761,292720,2438840,1137850,684586,860595,1135192,755021,527675,459549,5125963,794520,549789,2363160,1222064,374590,3811036,541069,2233299,208594,59477,1649949,11721251,312821,237075
199811,54655,392375,70629,298730,2441176,1145770,689089,852178,1138033,756227,533648,458947,5101647,798809,550405,2352103,1224407,374742,3813358,535313,2208559,210878,60490,1647630,11737842,300548,253813
199812,54947,388855,74447,314114,2441242,1142664,694139,849225,1147322,764715,537975,456571,5112672,802240,554469,2335189,1227705,379479,3819249,533571,2209238,214892,65264,1648817,11713331,292529,267259
199901,54898,383749,77658,327161,2461188,1138989,694444,837236,1151525,764640,540086,454132,5089958,801792,565277,2320637,1224610,379448,3809177,531050,2220864,216763,66100,1647606,11722576,281595,281621
199902,55756,381227,78634,337089,2455282,1120623,697124,821692,1154734,759222,540103,447972,5029830,810996,565569,2309381,1209494,369675,3786167,527669,2207938,223233,67505,1649777,11724443,274837,289240
199903,57832,379363,79846,343169,2468047,1129821,707186,824621,1175816,756925,539547,446491,5032063,827094,571561,2307376,1216698,370292,3817842,530637,2217613,226973,66334,1658257,11777647,271254,299938
199904,59079,374080,77109,346457,2452338,1124697,711064,817129,1188192,753384,539105,438542,4976442,848223,571963,2297774,1204475,365043,3777505,527791,2197488,232203,64369,1657870,11716338,261280,310596
199905,60504,369775,76505,346190,2433761,1123658,713300,809543,1198496,748253,538444,436235,4930163,850742,570625,2293816,1201212,363136,3766056,526432,2193834,233753,58865,1670208,11708848,253475,325983
199906,61852,369341,76870,356234,2419829,1135220,720346,792671,1227078,749824,543603,436120,4906187,864564,569411,2297393,1195006,358594,3737925,529555,2199670,237534,56286,1682989,11747004,252510,335885
199907,62352,365083,76445,361029,2406854,1138600,727263,786223,1248139,727153,546254,436643,4864940,876010,568020,2305295,1175725,348512,3732422,525063,2183036,236945,54016,1701121,11826123,250044,345689
199908,63513,359074,77383,362867,2384331,1139755,727092,783670,1262881,700297,548895,435821,4794068,880312,563917,2309180,1166158,340173,3728265,521206,2182068,238807,53566,1719501,11838269,245717,350687
199909,64409,357960,76491,367148,2390644,1145044,731228,781795,1280502,684544,555458,435956,4764057,889986,562432,2293980,1161399,337708,3693199,525430,2169406,234880,54065,1734704,11865139,243022,353748
199910,67618,353626,76078,367630,2360649,1145633,733205,772623,1292634,660104,557929,434642,4699207,899079,549151,2278865,1154238,332475,3662568,525012,2154899,235517,53704,1738090,11808190,238464,345747
199911,69540,354944,75292,371797,2342324,1134120,732733,777897,1310121,637457,562671,433658,4658118,914607,540949,2282170,1153174,322301,3659122,526633,2144047,234613,53730,1748870,11812907,235731,341118
199912,70925,355146,74614,365915,2322346,1123812,735127,783620,1321190,617333,569502,436253,4629158,932292,533697,2275860,1153805,315767,3669665,520752,2130275,232620,52475,1752299,11857498,236419,337735
200001,71231,357398,73374,363154,2277158,1101122,733626,779265,1321206,600583,572874,436911,4602351,951857,519457,2271786,1150886,309836,3641979,513987,2101886,234016,53033,1760528,11842838,236937,328934
200002,72677,352383,71231,379744,2248551,1109443,744500,783525,1354935,578816,586057,442732,4636685,965153,514261,2280455,1161641,307712,3656194,507805,2103976,230621,54781,1778561,11916025,233247,329459
200003,73781,351982,73051,398773,2221132,1111257,752647,781560,1384600,571706,603138,450663,4641156,975944,510531,2292562,1169902,302660,3653123,507950,2101475,231537,58008,1797434,11923222,230233,327832
200004,75278,349971,76208,418408,2190615,1121411,758312,776575,1409359,566656,614436,456542,4631671,988405,507990,2271139,1179861,299881,3655724,509935,2087751,230336,60946,1795850,11850351,228513,324528
200005,76078,352214,79678,441331,2172503,1138567,767053,779547,1439368,569014,628594,463207,4628405,1019526,508526,2273328,1191886,298916,3662283,516151,2097235,231684,65129,1803921,11821461,229166,315562
200006,76521,350894,81735,453729,2150352,1137786,765997,780539,1447898,558571,631461,462235,4564701,1038778,508575,2254934,1201007,295522,3671819,519541,2088477,229948,65993,1798053,11714565,225525,306142
200007,77179,354439,82707,467301,2143181,1140620,764948,781958,1455856,561261,634254,464552,4522632,1048574,512587,2252347,1231212,294764,3660990,530079,2098494,229652,68957,1793988,11641432,226596,293040
200008,76595,357017,83091,479069,2120345,1130097,762374,779407,1457480,564977,636079,467716,4497862,1062779,517033,2246154,1248118,290959,3652015,536170,2101474,226334,70457,1792016,11577325,225514,279579
200009,76084,354486,83367,490845,2074492,1117728,754302,772794,1449255,555413,632320,467160,4410188,1066130,515054,2227653,1261034,283851,3620020,533586,2083710,225498,72412,1774112,11453813,223928,267803
200010,73509,354143,83147,508134,2051793,1117530,750717,773877,1448893,560612,631816,468303,4366931,1067174,517552,2243605,1273117,280030,3609647,531830,2100293,220956,74847,1783030,11415408,225719,261645
200011,72327,347995,82482,519017,2017740,1108639,747284,768215,1441413,554282,631372,470255,4322739,1063762,516017,2230978,1273082,275226,3580163,527084,2103508,218737,76821,1783099,11341600,225218,253724
200012,70376,339573,80310,531184,1988940,1102413,752720,763582,1448674,545076,631797,471395,4302278,1056493,512001,2222466,1267118,270018,3542274,522136,2091032,213961,78465,1778900,11249279,221305,249733
200101,71000,332000,80000,543000,1978000,1094000,763000,767000,1475000,534000,641000,475000,4318000,1062000,509000,2238000,1267000,266000,3553000,515000,2100000,211000,80000,1791000,11266000,218000,251000
200102,70250,333917,81917,545083,1975500,1093167,760750,761833,1475917,536833,647500,476833,4304833,1062583,508833,2244833,1266167,268083,3542833,511167,2102583,213667,78917,1793083,11234333,222083,249500
200103,69500,335833,83833,547167,1973000,1092333,758500,756667,1476833,539667,654000,478667,4291667,1063167,508667,2251667,1265333,270167,3532667,507333,2105167,216333,77833,1795167,11202667,226167,248000
200104,68750,337750,85750,549250,1970500,1091500,756250,751500,1477750,542500,660500,480500,4278500,1063750,508500,2258500,1264500,272250,3522500,503500,2107750,219000,76750,1797250,11171000,230250,246500
200105,68000,339667,87667,551333,1968000,1090667,754000,746333,1478667,545333,667000,482333,4265333,1064333,508333,2265333,1263667,274333,3512333,499667,2110333,221667,75667,1799333,11139333,234333,245000
200106,67250,341583,89583,553417,1965500,1089833,751750,741167,1479583,548167,673500,484167,4252167,1064917,508167,2272167,1262833,276417,3502167,495833,2112917,224333,74583,1801417,11107667,238417,243500
200107,66500,343500,91500,555500,1963000,1089000,749500,736000,1480500,551000,680000,486000,4239000,1065500,508000,2279000,1262000,278500,3492000,492000,2115500,227000,73500,1803500,11076000,242500,242000
