y_test;y_pred
113987.0;142113
43527.0;51460
74086.0;47952
152632.0;212586
44254.0;95772
305105.0;458057
60580.0;98183
86444.0;129086
80970.0;157112
53839.0;68820
126352.0;163117
40259.0;54917
298219.0;300489
146761.0;213332
32801.0;63581
23321.0;49098
2781.0;11025
212139.0;213794
234275.0;225891
33904.0;23491
727397.0;908530
22422.0;57586
9724.0;2320
29446.0;50437
20879.0;47297
7726.0;8799
241464.0;247678
114289.0;140411
45488.0;50083
92676.0;46671
177876.0;211305
52169.0;94940
402406.0;456827
69448.0;97332
94285.0;128250
92173.0;156333
56652.0;67876
138148.0;162480
41239.0;54241
328955.0;300588
173121.0;212589
37638.0;63001
23927.0;48070
7490.0;11203
228994.0;213781
249920.0;226016
29447.0;23879
855245.0;908581
29555.0;58440
9737.0;4498
27666.0;52836
36409.0;49639
8516.0;11179
238901.0;250031
117313.0;141635
44960.0;54835
82865.0;50259
181384.0;215362
53399.0;97677
419419.0;459289
74472.0;100995
98986.0;132250
86782.0;160597
53408.0;71543
129978.0;166006
45035.0;58268
335039.0;303622
169841.0;216631
37358.0;66431
24561.0;51786
7043.0;14006
226827.0;215179
246326.0;229720
29197.0;27312
855042.0;912843
28919.0;62018
10136.0;7693
22013.0;55050
22277.0;50433
8503.0;10316
191989.0;249543
110502.0;141929
36721.0;51275
71180.0;47940
160120.0;213014
45364.0;96055
336054.0;457510
63776.0;98352
88072.0;129237
85150.0;157207
50543.0;68272
109083.0;163411
42477.0;56553
260723.0;302166
142706.0;215117
31339.0;65079
20135.0;51471
4877.0;12587
186855.0;215385
198778.0;227751
26297.0;25883
648867.0;910315
25589.0;59143
14403.0;2715
28025.0;50657
20529.0;47535
10175.0;8963
272452.0;248312
147996.0;140689
54463.0;50078
108826.0;47034
236951.0;211731
67103.0;94922
568395.0;456406
81732.0;97178
141010.0;129538
135094.0;156910
64699.0;68500
147440.0;162648
57619.0;55030
366929.0;301052
242422.0;214295
45311.0;65195
34837.0;49684
7031.0;11292
253021.0;213278
285970.0;226090
29209.0;22965
1003807.0;907534
40237.0;56983
12871.0;1404
25648.0;49349
37061.0;46535
11775.0;8045
261009.0;247115
152386.0;138987
51462.0;48592
105694.0;45506
206557.0;210292
61062.0;113231
541488.0;473639
83858.0;118211
122652.0;148293
132351.0;172878
60219.0;92242
132500.0;184412
53109.0;77991
353426.0;321390
226205.0;235440
42085.0;83726
34338.0;68998
5988.0;16143
194988.0;219486
262597.0;234520
28158.0;31098
855104.0;913763
37012.0;67480
15749.0;11520
31782.0;59684
23387.0;56114
9724.0;17663
292688.0;256664
177259.0;148646
58854.0;51301
107106.0;47910
224270.0;213064
73445.0;96083
537851.0;456340
87863.0;99323
